symbol,date,open,high,low,close,volume
AAIC.N0000,2021-01-04,34.8,35.2,34.6,34.8,127946
AAIC.N0000,2021-01-05,34.5,35.0,34.5,34.5,360861
AAIC.N0000,2021-01-06,34.7,35.8,34.5,34.7,96604
AAIC.N0000,2021-01-07,34.8,35.0,34.0,34.8,216374
AAIC.N0000,2021-01-08,34.0,35.0,33.8,34.0,181236
AAIC.N0000,2021-01-11,34.1,35.2,33.9,34.1,112090
AAIC.N0000,2021-01-12,33.9,34.7,33.6,33.9,62675
AAIC.N0000,2021-01-13,34.0,34.4,33.4,34.0,81614
AAIC.N0000,2021-01-15,33.7,34.2,33.6,33.7,307571
AAIC.N0000,2021-01-18,34.9,35.0,33.9,34.9,172645
AAIC.N0000,2021-01-19,34.6,34.9,34.2,34.6,146021
AAIC.N0000,2021-01-20,34.0,34.9,34.0,34.0,163797
AAIC.N0000,2021-01-21,33.5,34.1,33.1,33.5,402115
AAIC.N0000,2021-01-22,34.1,35.0,33.2,34.1,142786
AAIC.N0000,2021-01-25,33.9,34.5,33.7,33.9,288870
AAIC.N0000,2021-01-26,34.0,34.8,34.0,34.0,248847
AAIC.N0000,2021-01-27,33.0,34.0,32.9,33.0,336479
AAIC.N0000,2021-01-29,33.1,33.9,32.9,33.1,212692
AAIC.N0000,2021-02-01,33.2,34.1,32.9,33.2,142414
AAIC.N0000,2021-02-02,31.2,33.6,30.1,31.2,108679
AAIC.N0000,2021-02-03,33.6,33.9,31.0,33.6,223126
AAIC.N0000,2021-02-05,33.1,33.9,33.0,33.1,80793
AAIC.N0000,2021-02-08,32.0,33.9,31.9,32.0,83743
AAIC.N0000,2021-02-09,32.0,32.0,31.5,32.0,42676
AAIC.N0000,2021-02-10,31.4,32.8,31.0,31.4,56214
AAIC.N0000,2021-02-11,31.8,32.2,30.1,31.8,55648
AAIC.N0000,2021-02-12,32.2,33.9,30.1,32.2,15580
AAIC.N0000,2021-02-15,33.1,34.3,32.8,33.1,311465
AAIC.N0000,2021-02-16,32.3,34.3,31.8,32.3,42064
AAIC.N0000,2021-02-17,32.0,32.5,31.9,32.0,126592
AAIC.N0000,2021-02-18,32.7,32.7,31.7,32.7,108705
AAIC.N0000,2021-02-19,33.1,33.5,32.5,33.1,41568
AAIC.N0000,2021-02-22,32.5,33.0,32.1,32.5,163323
AAIC.N0000,2021-02-23,31.4,32.1,31.2,31.4,33136
AAIC.N0000,2021-02-24,31.4,32.9,31.0,31.4,33558
AAIC.N0000,2021-02-25,30.8,31.8,30.0,30.8,89615
AAIC.N0000,2021-03-01,31.4,32.4,30.7,31.4,4051
AAIC.N0000,2021-03-02,31.0,31.5,31.0,31.0,15544
AAIC.N0000,2021-03-03,30.8,31.0,30.8,30.8,54797
AAIC.N0000,2021-03-04,30.0,31.0,29.8,30.0,66284
AAIC.N0000,2021-03-05,30.0,30.0,29.6,30.0,321066
AAIC.N0000,2021-03-08,30.7,31.4,29.9,30.7,185390
AAIC.N0000,2021-03-09,30.0,31.8,29.9,30.0,153929
AAIC.N0000,2021-03-10,31.9,33.0,31.6,31.9,668397
AAIC.N0000,2021-03-12,32.4,33.8,32.0,32.4,258944
AAIC.N0000,2021-03-15,32.1,34.0,32.0,32.1,863088
AAIC.N0000,2021-03-16,32.3,33.5,32.0,32.3,191565
AAIC.N0000,2021-03-17,32.1,33.0,32.0,32.1,283700
AAIC.N0000,2021-03-18,32.0,32.9,31.9,32.0,190437
AAIC.N0000,2021-03-19,32.9,33.0,31.9,32.9,550023
AAIC.N0000,2021-03-22,33.1,34.3,33.0,33.1,108176
AAIC.N0000,2021-03-23,33.0,33.9,32.5,33.0,184465
AAIC.N0000,2021-03-24,31.0,31.5,30.0,31.0,219713
AAIC.N0000,2021-03-25,30.6,31.3,30.5,30.6,235797
AAIC.N0000,2021-03-26,30.5,31.0,30.5,30.5,153846
AAIC.N0000,2021-03-29,30.5,31.0,30.5,30.5,25947
AAIC.N0000,2021-03-30,30.5,30.9,30.0,30.5,90702
AAIC.N0000,2021-03-31,30.5,30.9,30.4,30.5,12745
AAIC.N0000,2022-01-03,70.0,75.0,69.7,71.1,1368250
AAIC.N0000,2022-01-04,72.0,73.0,67.0,70.8,1516483
AAIC.N0000,2022-01-05,71.0,71.5,68.8,69.4,973550
AAIC.N0000,2022-01-06,69.5,73.0,69.5,72.5,1303085
AAIC.N0000,2022-01-07,73.0,80.0,72.8,75.3,1575270
AAIC.N0000,2022-01-10,75.3,77.5,70.0,72.7,750106
AAIC.N0000,2022-01-11,72.4,93.0,69.6,90.5,3524288
AAIC.N0000,2022-01-12,95.0,107.5,95.0,99.1,2632117
AAIC.N0000,2022-01-13,102.0,114.0,99.4,109.5,3403904
AAIC.N0000,2022-01-18,109.0,117.5,109.0,113.75,1207286
AAIC.N0000,2022-01-19,114.25,117.0,110.0,111.5,846740
AAIC.N0000,2022-01-20,113.0,114.0,107.0,110.25,466617
AAIC.N0000,2022-01-21,111.0,119.0,109.5,114.0,794714
AAIC.N0000,2022-01-24,114.75,116.0,107.5,114.25,1495939
AAIC.N0000,2022-01-25,115.0,135.0,112.5,130.5,4090236
AAIC.N0000,2022-01-26,132.5,150.5,126.0,145.25,3896404
AAIC.N0000,2022-01-27,152.0,157.75,133.75,149.0,4055929
AAIC.N0000,2022-01-28,153.0,186.0,146.0,178.5,4798795
AAIC.N0000,2022-01-31,189.0,223.0,178.5,217.25,5178481
AAIC.N0000,2022-02-01,230.0,249.0,152.25,183.0,7166014
AAIC.N0000,2022-02-02,187.75,200.0,109.25,141.5,5323013
AAIC.N0000,2022-02-03,130.0,137.0,110.0,132.5,3936611
AAIC.N0000,2022-02-07,137.0,137.75,125.0,128.75,914714
AAIC.N0000,2022-02-08,132.5,153.75,125.25,148.5,1969099
AAIC.N0000,2022-02-09,158.0,180.0,158.0,162.75,3216949
AAIC.N0000,2022-02-10,162.75,164.0,140.5,150.5,1338558
AAIC.N0000,2022-02-11,153.0,156.5,146.0,149.5,584677
AAIC.N0000,2022-02-14,152.0,152.0,136.0,140.0,673292
AAIC.N0000,2022-02-15,140.0,150.0,128.0,141.0,738331
AAIC.N0000,2022-02-17,140.0,146.0,134.0,138.5,201409
AAIC.N0000,2022-02-18,136.0,140.0,132.5,133.75,244514
AAIC.N0000,2022-02-21,133.0,138.0,110.0,111.75,1075100
AAIC.N0000,2022-02-22,111.0,122.0,102.75,113.5,762838
AAIC.N0000,2022-02-23,118.5,118.5,86.0,101.25,1115410
AAIC.N0000,2022-02-24,99.0,104.75,84.5,85.9,982236
AAIC.N0000,2022-02-25,86.0,97.9,81.5,92.8,737851
AAIC.N0000,2022-02-28,95.0,123.0,89.9,114.0,1386571
AAIC.N0000,2022-03-02,118.0,128.0,109.0,118.25,1329803
AAIC.N0000,2022-03-03,115.0,123.0,108.0,110.5,658760
AAIC.N0000,2022-03-04,110.0,116.0,102.5,114.25,452506
AAIC.N0000,2022-03-07,116.0,122.0,110.0,111.25,828411
AAIC.N0000,2022-03-08,111.5,116.0,88.0,93.2,752051
AAIC.N0000,2022-03-09,95.9,101.0,85.0,88.4,550871
AAIC.N0000,2022-03-10,90.0,109.0,89.0,106.25,952853
AAIC.N0000,2022-03-11,110.0,111.75,95.0,98.5,536174
AAIC.N0000,2022-03-14,99.5,99.5,94.0,95.7,125306
AAIC.N0000,2022-03-15,96.5,97.0,88.0,89.0,277283
AAIC.N0000,2022-03-16,90.0,93.0,80.0,87.0,378330
AAIC.N0000,2022-03-18,87.0,91.0,85.0,89.5,282115
AAIC.N0000,2022-03-21,90.0,91.7,87.0,89.7,167830
AAIC.N0000,2022-03-22,90.9,93.0,87.0,87.9,199242
AAIC.N0000,2022-03-23,89.8,89.8,83.0,85.1,107842
AAIC.N0000,2022-03-24,88.0,88.0,83.5,85.1,96276
AAIC.N0000,2022-03-25,85.0,88.0,80.0,80.3,455948
AAIC.N0000,2022-03-28,80.5,82.5,60.3,62.0,1063744
AAIC.N0000,2022-03-29,62.0,62.9,46.5,47.0,1391563
AAIC.N0000,2022-03-30,46.0,54.8,38.5,47.8,701597
AAIC.N0000,2022-03-31,45.0,46.5,41.0,43.4,272704
AAIC.N0000,2023-01-02,85.5,98.0,82.0,94.9,3082852
AAIC.N0000,2023-01-03,99.8,106.0,93.6,96.5,3096376
AAIC.N0000,2023-01-04,97.5,100.0,91.5,97.9,1759851
AAIC.N0000,2023-01-05,100.0,102.5,97.0,98.7,1202923
AAIC.N0000,2023-01-09,100.0,114.75,98.7,111.5,3680139
AAIC.N0000,2023-01-10,112.0,117.75,100.0,105.75,2135218
AAIC.N0000,2023-01-11,109.0,116.5,106.0,113.5,1307904
AAIC.N0000,2023-01-12,118.0,120.25,108.0,113.25,1651933
AAIC.N0000,2023-01-13,115.0,116.0,105.0,106.75,2344974
AAIC.N0000,2023-01-17,109.0,110.75,90.1,97.5,1650954
AAIC.N0000,2023-01-18,90.0,104.0,90.0,101.75,1412025
AAIC.N0000,2023-01-19,102.0,110.0,100.0,106.0,871107
AAIC.N0000,2023-01-20,106.0,110.0,103.75,105.5,834209
AAIC.N0000,2023-01-23,106.0,107.75,100.0,101.5,751113
AAIC.N0000,2023-01-24,100.0,110.25,100.0,105.5,1120567
AAIC.N0000,2023-01-25,106.0,109.0,104.75,107.25,356823
AAIC.N0000,2023-01-26,108.5,116.25,107.25,113.75,1313395
AAIC.N0000,2023-01-27,117.0,119.0,114.25,116.25,1308961
AAIC.N0000,2023-01-30,116.25,121.75,114.0,118.5,1206123
AAIC.N0000,2023-01-31,120.0,122.75,115.5,120.5,1295137
AAIC.N0000,2023-02-01,122.0,125.75,121.5,124.25,1417380
AAIC.N0000,2023-02-02,123.5,126.75,122.5,125.5,480781
AAIC.N0000,2023-02-03,126.0,130.5,126.0,129.0,707517
AAIC.N0000,2023-02-06,129.0,129.75,123.5,126.0,408685
AAIC.N0000,2023-02-07,127.5,128.0,121.25,122.75,512319
AAIC.N0000,2023-02-08,123.5,125.0,119.25,122.75,596915
AAIC.N0000,2023-02-09,122.75,127.0,122.75,125.25,584014
AAIC.N0000,2023-02-10,126.5,135.0,124.5,133.5,1437506
AAIC.N0000,2023-02-13,135.0,136.0,126.25,128.5,1360561
AAIC.N0000,2023-02-14,127.0,127.0,98.9,103.0,2645601
AAIC.N0000,2023-02-15,95.0,102.5,85.5,98.2,2952701
AAIC.N0000,2023-02-16,105.0,111.0,104.0,107.0,2361167
AAIC.N0000,2023-02-17,108.0,108.0,96.5,97.4,1217390
AAIC.N0000,2023-02-20,96.5,97.0,92.5,94.0,397474
AAIC.N0000,2023-02-21,92.7,98.9,92.7,94.4,229524
AAIC.N0000,2023-02-22,97.0,98.5,94.0,94.5,184725
AAIC.N0000,2023-02-23,94.0,96.0,93.6,94.5,351835
AAIC.N0000,2023-02-24,96.0,96.0,89.7,90.7,334257
AAIC.N0000,2023-02-27,90.0,90.0,83.2,84.8,508861
AAIC.N0000,2023-02-28,85.0,89.7,82.0,88.2,443790
AAIC.N0000,2023-03-01,88.5,94.5,87.1,93.1,164921
AAIC.N0000,2023-03-02,95.0,96.1,90.9,91.7,137339
AAIC.N0000,2023-03-03,94.7,94.7,90.0,90.8,178606
AAIC.N0000,2023-03-07,91.3,93.0,88.6,89.2,111440
AAIC.N0000,2023-03-08,89.8,90.0,86.5,87.9,124042
AAIC.N0000,2023-03-09,87.9,93.5,86.0,90.4,250059
AAIC.N0000,2023-03-10,93.5,95.5,92.0,94.1,431275
AAIC.N0000,2023-03-13,95.0,95.0,92.0,94.1,93482
AAIC.N0000,2023-03-14,95.0,95.5,90.0,91.2,155615
AAIC.N0000,2023-03-15,91.2,91.2,89.0,90.0,112880
AAIC.N0000,2023-03-16,90.5,95.2,90.5,92.9,316940
AAIC.N0000,2023-03-17,93.3,94.9,92.5,93.6,211571
AAIC.N0000,2023-03-20,94.0,94.4,92.3,92.6,108833
AAIC.N0000,2023-03-21,95.0,99.0,93.0,98.0,352957
AAIC.N0000,2023-03-22,96.4,97.0,92.0,92.6,124852
AAIC.N0000,2023-03-23,97.0,97.0,91.6,94.6,331261
AAIC.N0000,2023-03-24,95.0,95.0,91.1,92.0,38982
AAIC.N0000,2023-03-27,91.5,92.8,89.0,89.5,124567
AAIC.N0000,2023-03-28,90.0,92.0,86.0,88.8,95436
AAIC.N0000,2023-03-29,89.0,91.1,87.1,87.5,41099
AAIC.N0000,2023-03-30,89.1,89.9,83.8,85.0,206187
AAIC.N0000,2023-03-31,87.0,87.5,82.5,84.4,149392
AAIC.N0000,2023-04-03,86.0,87.9,84.1,84.8,43896
AAIC.N0000,2023-04-04,84.5,87.5,83.5,84.2,58166
AAIC.N0000,2023-04-06,84.5,85.0,80.5,81.2,160994
AAIC.N0000,2023-04-10,83.0,85.8,81.0,83.1,192431
AAIC.N0000,2023-04-11,83.0,87.0,81.5,86.0,115181
AAIC.N0000,2023-04-12,87.8,87.8,83.0,83.8,78449
AAIC.N0000,2023-04-17,85.2,85.2,82.0,82.0,129890
AAIC.N0000,2023-04-18,82.0,83.5,80.8,81.6,150008
AAIC.N0000,2023-04-19,82.0,83.0,80.5,80.8,95679
AAIC.N0000,2023-04-20,81.5,81.5,77.7,78.2,281767
AAIC.N0000,2023-04-21,78.9,79.0,76.0,76.6,84302
AAIC.N0000,2023-04-24,75.5,78.9,73.9,74.4,77017
AAIC.N0000,2023-04-25,74.4,76.5,70.0,71.0,244232
AAIC.N0000,2023-04-26,72.1,76.9,70.0,71.1,526488
AAIC.N0000,2023-04-27,70.2,73.0,68.5,70.5,174089
AAIC.N0000,2023-04-28,70.5,71.9,69.1,70.4,83524
AAIC.N0000,2023-05-02,70.0,70.0,64.7,65.2,248301
AAIC.N0000,2023-05-03,69.0,69.0,64.7,65.0,114333
AAIC.N0000,2023-05-04,65.0,68.0,65.0,66.8,24561
AAIC.N0000,2023-05-08,67.7,69.7,66.5,68.1,184628
AAIC.N0000,2023-05-09,68.1,69.8,66.0,69.0,136820
AAIC.N0000,2023-05-10,69.5,71.2,69.4,70.9,51844
AAIC.N0000,2023-05-11,71.4,77.9,70.2,76.7,344407
AAIC.N0000,2023-05-12,77.9,79.0,75.8,76.9,233265
AAIC.N0000,2023-05-15,77.2,78.9,73.0,73.2,41371
AAIC.N0000,2023-05-16,74.0,74.0,71.0,71.1,33658
AAIC.N0000,2023-05-17,70.1,73.5,70.1,72.6,129663
AAIC.N0000,2023-05-18,72.5,74.0,72.0,72.1,103889
AAIC.N0000,2023-05-19,72.0,73.0,70.0,71.8,84670
AAIC.N0000,2023-05-22,73.5,73.5,68.0,69.1,51866
AAIC.N0000,2023-05-23,69.1,71.0,68.5,70.1,44158
AAIC.N0000,2023-05-24,71.6,74.5,70.0,70.2,70776
AAIC.N0000,2023-05-25,70.3,71.8,69.5,69.9,42357
AAIC.N0000,2023-05-26,69.5,69.5,68.5,68.9,57617
AAIC.N0000,2023-05-29,68.3,70.0,65.0,65.3,91288
AAIC.N0000,2023-05-30,65.3,67.9,63.6,64.1,82414
AAIC.N0000,2023-05-31,65.1,66.7,64.1,65.0,95603
AAIC.N0000,2023-06-01,67.0,70.0,66.2,69.8,72157
AAIC.N0000,2023-06-02,70.4,71.9,69.0,70.1,34673
AAIC.N0000,2023-06-05,69.0,71.5,67.6,68.5,56138
AAIC.N0000,2023-06-06,70.0,70.0,67.1,67.2,30887
AAIC.N0000,2023-06-07,68.0,68.0,66.1,67.1,9287
AAIC.N0000,2023-06-08,67.5,68.5,66.4,67.2,93487
AAIC.N0000,2023-06-09,68.4,68.4,66.5,67.0,39483
AAIC.N0000,2023-06-12,68.5,73.0,67.0,73.0,140368
AAIC.N0000,2023-06-13,73.0,78.0,71.6,76.4,268738
AAIC.N0000,2023-06-14,75.5,79.0,75.1,75.8,380854
AAIC.N0000,2023-06-15,75.6,76.9,73.0,74.5,116677
AAIC.N0000,2023-06-16,75.9,75.9,73.0,73.4,43864
AAIC.N0000,2023-06-19,75.0,75.0,71.8,72.0,25123
AAIC.N0000,2023-06-20,72.0,74.0,72.0,72.9,22353
AAIC.N0000,2023-06-21,73.3,75.4,73.0,73.9,69064
AAIC.N0000,2023-06-22,73.5,75.0,73.0,73.9,120657
AAIC.N0000,2023-06-23,74.5,82.0,74.0,81.2,480327
AAIC.N0000,2023-06-26,81.8,86.0,75.0,83.4,544728
AAIC.N0000,2023-06-27,83.9,84.5,80.2,81.2,158790
AAIC.N0000,2023-06-28,82.5,82.5,80.0,80.6,150152
AAIC.N0000,2023-07-04,84.0,85.0,80.2,82.3,167042
AAIC.N0000,2023-07-05,82.5,85.5,81.1,84.4,295995
AAIC.N0000,2023-07-06,86.0,87.5,84.9,86.8,424873
AAIC.N0000,2023-07-07,87.2,87.5,84.5,86.0,161519
AAIC.N0000,2023-07-10,86.0,87.8,84.2,86.0,393567
AAIC.N0000,2023-07-11,86.0,87.0,84.0,84.4,131947
AAIC.N0000,2023-07-12,85.5,88.5,85.0,85.3,563306
AAIC.N0000,2023-07-13,86.1,86.3,84.3,84.6,200277
AAIC.N0000,2023-07-14,85.0,85.9,82.0,82.4,123917
AAIC.N0000,2023-07-17,82.5,84.0,79.3,79.7,540632
AAIC.N0000,2023-07-18,79.8,81.9,77.7,78.1,279745
AAIC.N0000,2023-07-19,78.0,81.0,77.0,79.4,387966
AAIC.N0000,2023-07-20,79.5,85.9,79.5,82.6,553287
AAIC.N0000,2023-07-21,84.0,84.0,79.1,79.4,443988
AAIC.N0000,2023-07-24,80.0,83.0,78.4,78.7,204199
AAIC.N0000,2023-07-25,78.8,79.0,76.5,77.1,186963
AAIC.N0000,2023-07-26,77.8,80.0,77.4,77.8,143809
AAIC.N0000,2023-07-27,80.0,80.0,75.5,76.1,527537
AAIC.N0000,2023-07-28,76.5,79.4,74.0,74.4,544932
AAIC.N0000,2023-07-31,74.8,76.8,74.2,75.3,113266
