symbol,date,open,high,low,close,volume
ACL.N0000,2021-01-04,84.1,85.0,79.0,84.1,4127622
ACL.N0000,2021-01-05,87.8,94.0,87.4,87.8,4166270
ACL.N0000,2021-01-06,87.1,88.8,84.9,87.1,711814
ACL.N0000,2021-01-07,86.0,87.4,85.0,86.0,478350
ACL.N0000,2021-01-08,84.7,86.5,84.2,84.7,636327
ACL.N0000,2021-01-11,85.1,87.5,84.9,85.1,327818
ACL.N0000,2021-01-12,89.9,91.8,85.5,89.9,1151261
ACL.N0000,2021-01-13,101.25,107.0,92.3,101.25,1910037
ACL.N0000,2021-01-15,119.5,125.0,104.0,119.5,2632803
ACL.N0000,2021-01-18,120.5,130.0,112.0,120.5,1971650
ACL.N0000,2021-01-19,115.75,121.5,114.0,115.75,924910
ACL.N0000,2021-01-20,116.25,118.5,110.5,116.25,525826
ACL.N0000,2021-01-21,115.0,117.5,112.0,115.0,343880
ACL.N0000,2021-01-22,113.5,115.0,111.0,113.5,549198
ACL.N0000,2021-01-25,113.5,115.0,113.0,113.5,384218
ACL.N0000,2021-01-26,111.0,115.0,110.0,111.0,382693
ACL.N0000,2021-01-27,107.75,112.0,103.0,107.75,405951
ACL.N0000,2021-01-29,103.0,107.0,100.0,103.0,543293
ACL.N0000,2021-02-01,104.75,112.0,103.5,104.75,423821
ACL.N0000,2021-02-02,90.2,105.0,80.0,90.2,443961
ACL.N0000,2021-02-03,100.0,102.75,91.0,100.0,515086
ACL.N0000,2021-02-05,97.4,100.5,97.0,97.4,177549
ACL.N0000,2021-02-08,96.5,100.0,95.7,96.5,217577
ACL.N0000,2021-02-09,93.4,96.0,90.0,93.4,683162
ACL.N0000,2021-02-10,89.2,94.0,88.4,89.2,184539
ACL.N0000,2021-02-11,85.4,88.7,68.2,85.4,694383
ACL.N0000,2021-02-12,90.5,92.9,85.0,90.5,438949
ACL.N0000,2021-02-15,89.0,95.0,87.5,89.0,275559
ACL.N0000,2021-02-16,84.9,90.0,84.0,84.9,277719
ACL.N0000,2021-02-17,84.6,86.0,81.1,84.6,312878
ACL.N0000,2021-02-18,82.3,85.5,82.0,82.3,416503
ACL.N0000,2021-02-19,84.9,88.8,83.0,84.9,202309
ACL.N0000,2021-02-22,81.8,85.9,81.5,81.8,261851
ACL.N0000,2021-02-23,78.0,81.7,76.5,78.0,122009
ACL.N0000,2021-03-02,36.6,38.4,34.0,36.6,274876
ACL.N0000,2021-03-03,33.3,37.0,32.9,33.3,662178
ACL.N0000,2021-03-04,32.6,35.3,32.5,32.6,439539
ACL.N0000,2021-03-05,33.3,34.0,32.6,33.3,440699
ACL.N0000,2021-03-08,38.7,39.0,34.0,38.7,562993
ACL.N0000,2021-03-09,40.2,46.0,39.3,40.2,1367209
ACL.N0000,2021-03-10,39.9,41.2,38.8,39.9,180540
ACL.N0000,2021-03-12,39.7,40.5,39.5,39.7,138810
ACL.N0000,2021-03-15,38.9,40.4,38.8,38.9,88314
ACL.N0000,2021-03-16,37.5,39.0,36.6,37.5,127696
ACL.N0000,2021-03-17,36.8,38.0,36.6,36.8,69004
ACL.N0000,2021-03-18,35.3,37.9,35.1,35.3,146882
ACL.N0000,2021-03-19,34.8,36.0,34.5,34.8,310066
ACL.N0000,2021-03-22,36.5,37.0,35.0,36.5,208779
ACL.N0000,2021-03-23,36.7,37.5,35.3,36.7,63212
ACL.N0000,2021-03-24,37.9,38.2,35.1,37.9,768255
ACL.N0000,2021-03-25,36.8,38.3,36.5,36.8,279428
ACL.N0000,2021-03-26,36.6,37.3,36.4,36.6,131598
ACL.N0000,2021-03-29,36.3,37.2,35.5,36.3,137201
ACL.N0000,2021-03-30,36.0,36.4,35.6,36.0,69993
ACL.N0000,2021-03-31,35.9,36.2,35.6,35.9,72273
ACL.N0000,2022-01-03,102.75,108.0,101.0,104.5,723367
ACL.N0000,2022-01-04,107.25,110.75,104.5,109.5,1676181
ACL.N0000,2022-01-05,109.0,109.0,105.5,106.5,743704
ACL.N0000,2022-01-06,106.0,109.0,105.5,106.25,549827
ACL.N0000,2022-01-07,106.25,108.75,106.0,108.0,796029
ACL.N0000,2022-01-10,107.0,109.0,102.75,104.25,907064
ACL.N0000,2022-01-11,102.75,106.5,102.0,105.5,615094
ACL.N0000,2022-01-12,105.0,110.0,105.0,106.25,1118219
ACL.N0000,2022-01-13,106.0,113.0,105.0,110.25,2764623
ACL.N0000,2022-01-18,111.5,112.5,109.25,110.0,1034199
ACL.N0000,2022-01-19,111.0,118.25,109.25,116.75,3376900
ACL.N0000,2022-01-20,117.5,120.5,116.5,118.0,1641186
ACL.N0000,2022-01-21,119.75,123.25,116.25,120.0,2187912
ACL.N0000,2022-01-24,120.0,128.75,120.0,127.75,2542177
ACL.N0000,2022-01-25,128.0,130.0,121.0,123.5,1509820
ACL.N0000,2022-01-26,121.0,126.0,120.75,123.25,1213841
ACL.N0000,2022-01-27,119.5,125.0,117.0,119.75,1656749
ACL.N0000,2022-01-28,121.75,124.5,116.0,122.0,2224059
ACL.N0000,2022-01-31,125.0,127.0,122.0,124.5,1195075
ACL.N0000,2022-02-01,127.0,127.0,123.5,124.0,610661
ACL.N0000,2022-02-02,124.75,124.75,112.0,115.25,921832
ACL.N0000,2022-02-03,115.0,122.0,110.0,120.5,1470160
ACL.N0000,2022-02-07,123.0,123.75,114.5,115.5,364719
ACL.N0000,2022-02-08,115.0,118.0,110.0,112.75,557242
ACL.N0000,2022-02-09,118.0,118.0,107.0,109.0,1585633
ACL.N0000,2022-02-10,111.0,114.0,104.0,110.0,1233813
ACL.N0000,2022-02-11,110.5,118.0,110.5,116.75,1378559
ACL.N0000,2022-02-14,119.75,120.0,114.25,115.25,276473
ACL.N0000,2022-02-15,115.0,115.0,112.0,112.5,105510
ACL.N0000,2022-02-17,112.5,113.0,109.0,111.75,307990
ACL.N0000,2022-02-18,111.5,111.5,108.0,108.5,391860
ACL.N0000,2022-02-21,108.5,108.5,98.6,99.6,881020
ACL.N0000,2022-02-22,100.5,102.0,96.5,97.4,1090269
ACL.N0000,2022-02-23,97.1,99.8,80.0,94.2,1131342
ACL.N0000,2022-02-24,94.3,99.0,87.0,87.8,527908
ACL.N0000,2022-02-25,90.0,95.0,86.0,93.6,1292017
ACL.N0000,2022-02-28,96.0,103.0,91.7,102.25,584581
ACL.N0000,2022-03-02,104.5,104.5,95.0,98.8,375393
ACL.N0000,2022-03-03,99.9,101.25,96.5,97.1,556197
ACL.N0000,2022-03-04,95.0,98.4,94.0,98.0,617919
ACL.N0000,2022-03-07,98.0,99.9,78.4,94.5,702128
ACL.N0000,2022-03-08,95.0,96.9,86.0,88.0,559323
ACL.N0000,2022-03-09,90.0,91.0,78.1,80.3,397773
ACL.N0000,2022-03-10,81.0,89.0,81.0,87.8,701878
ACL.N0000,2022-03-11,89.0,89.0,83.1,84.7,842942
ACL.N0000,2022-03-14,84.0,87.0,80.6,81.8,266082
ACL.N0000,2022-03-15,83.0,83.0,74.4,75.6,669562
ACL.N0000,2022-03-16,78.0,79.7,70.0,76.0,692157
ACL.N0000,2022-03-18,77.0,79.9,75.0,77.1,90697
ACL.N0000,2022-03-21,78.0,81.9,77.8,78.9,552064
ACL.N0000,2022-03-22,81.0,84.2,79.4,79.9,68134
ACL.N0000,2022-03-23,80.7,81.6,77.6,78.5,66544
ACL.N0000,2022-03-24,78.5,83.0,77.5,81.4,1660739
ACL.N0000,2022-03-25,83.5,86.7,82.5,83.0,961075
ACL.N0000,2022-03-28,85.0,85.4,78.0,79.4,198779
ACL.N0000,2022-03-29,79.4,79.9,69.0,69.9,265812
ACL.N0000,2022-03-30,69.5,69.5,54.0,63.7,717911
ACL.N0000,2022-03-31,61.0,62.0,55.0,57.0,110872
ACL.N0000,2023-01-02,72.0,72.7,70.0,70.1,145663
ACL.N0000,2023-01-03,70.1,72.0,69.5,69.8,132626
ACL.N0000,2023-01-04,70.0,70.0,68.2,68.6,86087
ACL.N0000,2023-01-05,68.8,69.5,66.7,67.1,163963
ACL.N0000,2023-01-09,67.0,68.0,65.9,66.0,117232
ACL.N0000,2023-01-10,67.8,67.8,65.0,65.1,100315
ACL.N0000,2023-01-11,67.0,67.0,64.1,64.7,220914
ACL.N0000,2023-01-12,64.9,64.9,62.5,63.4,234791
ACL.N0000,2023-01-13,64.0,64.9,63.0,63.3,176104
ACL.N0000,2023-01-17,64.5,68.9,63.0,68.5,484204
ACL.N0000,2023-01-18,70.0,74.0,69.8,71.2,775192
ACL.N0000,2023-01-19,71.0,72.9,68.1,70.4,267526
ACL.N0000,2023-01-20,72.9,73.2,72.0,72.4,141061
ACL.N0000,2023-01-23,73.4,81.6,73.4,78.6,1043166
ACL.N0000,2023-01-24,81.0,82.4,77.1,78.0,863745
ACL.N0000,2023-01-25,78.0,80.6,75.0,80.1,325654
ACL.N0000,2023-01-26,80.3,82.0,79.5,80.2,349294
ACL.N0000,2023-01-27,81.2,81.3,77.2,79.0,229427
ACL.N0000,2023-01-30,77.0,78.0,75.6,76.6,238012
ACL.N0000,2023-01-31,76.4,77.0,74.0,74.3,342603
ACL.N0000,2023-02-01,76.9,76.9,73.1,74.5,172703
ACL.N0000,2023-02-02,75.1,76.0,73.0,73.2,111929
ACL.N0000,2023-02-03,74.0,74.4,73.5,73.9,55808
ACL.N0000,2023-02-06,75.0,75.0,72.8,73.1,82364
ACL.N0000,2023-02-07,73.5,73.9,70.5,71.2,78269
ACL.N0000,2023-02-08,73.0,73.0,70.1,71.9,125980
ACL.N0000,2023-02-09,72.0,72.0,70.0,70.6,72499
ACL.N0000,2023-02-10,71.5,74.0,70.6,73.4,272784
ACL.N0000,2023-02-13,73.4,74.5,69.9,70.5,210175
ACL.N0000,2023-02-14,71.9,73.0,69.0,69.1,2256198
ACL.N0000,2023-02-15,69.4,72.0,69.2,69.8,164907
ACL.N0000,2023-02-16,71.0,71.0,69.8,70.1,244645
ACL.N0000,2023-02-17,70.0,71.0,68.6,68.9,191395
ACL.N0000,2023-02-20,69.9,71.9,69.3,71.2,496616
ACL.N0000,2023-02-21,72.0,75.0,70.2,73.8,629130
ACL.N0000,2023-02-22,74.0,76.4,73.5,73.8,232928
ACL.N0000,2023-02-23,74.0,75.6,72.0,73.2,128079
ACL.N0000,2023-02-24,73.8,75.4,73.8,75.1,314026
ACL.N0000,2023-02-27,75.0,75.5,73.0,73.3,192044
ACL.N0000,2023-02-28,74.0,74.0,71.9,72.3,99001
ACL.N0000,2023-03-01,72.4,73.9,72.4,72.7,44823
ACL.N0000,2023-03-02,73.8,74.3,72.0,73.8,160566
ACL.N0000,2023-03-03,74.1,76.9,73.0,75.8,475671
ACL.N0000,2023-03-07,76.2,81.5,76.2,80.8,1148669
ACL.N0000,2023-03-08,81.5,84.9,81.0,81.8,1133434
