symbol,date,open,high,low,close,volume
AHUN.N0000,2021-01-04,32.5,33.5,32.5,32.5,19507
AHUN.N0000,2021-01-05,33.4,33.4,32.6,33.4,73344
AHUN.N0000,2021-01-06,34.3,34.4,33.3,34.3,48406
AHUN.N0000,2021-01-07,34.0,34.1,33.0,34.0,133144
AHUN.N0000,2021-01-08,33.8,34.1,33.0,33.8,56674
AHUN.N0000,2021-01-11,34.0,34.2,33.9,34.0,96976
AHUN.N0000,2021-01-12,34.0,34.1,33.5,34.0,36082
AHUN.N0000,2021-01-13,34.0,34.6,33.4,34.0,64545
AHUN.N0000,2021-01-15,33.0,34.4,32.8,33.0,61023
AHUN.N0000,2021-01-18,34.9,35.0,33.4,34.9,472048
AHUN.N0000,2021-01-19,34.1,35.0,33.2,34.1,268235
AHUN.N0000,2021-01-20,33.7,34.3,33.5,33.7,82885
AHUN.N0000,2021-01-21,34.8,35.4,33.5,34.8,101766
AHUN.N0000,2021-01-22,35.7,36.5,35.1,35.7,305920
AHUN.N0000,2021-01-25,36.3,37.0,35.0,36.3,186328
AHUN.N0000,2021-01-26,35.5,36.0,35.0,35.5,82661
AHUN.N0000,2021-01-27,35.1,36.0,34.2,35.1,72247
AHUN.N0000,2021-01-29,35.3,35.9,35.0,35.3,56348
AHUN.N0000,2021-02-01,34.0,35.2,33.5,34.0,22501
AHUN.N0000,2021-02-02,31.9,34.6,30.0,31.9,99963
AHUN.N0000,2021-02-03,33.9,33.9,31.0,33.9,8053
AHUN.N0000,2021-02-05,33.6,34.9,33.0,33.6,12412
AHUN.N0000,2021-02-08,33.8,35.0,33.0,33.8,37203
AHUN.N0000,2021-02-09,33.3,34.9,32.6,33.3,13115
AHUN.N0000,2021-02-10,32.0,32.7,31.5,32.0,11725
AHUN.N0000,2021-02-11,31.9,32.0,25.5,31.9,255739
AHUN.N0000,2021-02-12,32.7,34.0,32.5,32.7,61914
AHUN.N0000,2021-02-15,30.8,33.0,30.0,30.8,29059
AHUN.N0000,2021-02-16,30.5,32.5,30.4,30.5,31440
AHUN.N0000,2021-02-17,30.7,30.9,29.6,30.7,23600
AHUN.N0000,2021-02-18,31.7,32.0,30.5,31.7,2803
AHUN.N0000,2021-02-19,31.0,32.0,30.5,31.0,78373
AHUN.N0000,2021-02-22,31.0,31.0,31.0,31.0,52
