symbol,date,open,high,low,close,volume
CARG.N0000,2021-01-04,201.4,205.0,201.0,201.4,149
CARG.N0000,2021-01-05,206.0,208.9,202.4,206.0,7171
CARG.N0000,2021-01-06,206.0,207.5,202.0,206.0,77
CARG.N0000,2021-01-07,205.0,207.0,201.2,205.0,992
CARG.N0000,2021-01-08,214.75,220.0,205.0,214.75,668150
CARG.N0000,2021-01-11,210.25,218.0,210.0,210.25,3728
CARG.N0000,2021-01-12,227.5,252.0,210.5,227.5,1023418
CARG.N0000,2021-01-13,228.5,234.75,225.0,228.5,25986
CARG.N0000,2021-01-15,225.5,230.0,224.75,225.5,209447
CARG.N0000,2021-01-18,218.75,225.0,218.5,218.75,1140
CARG.N0000,2021-01-19,218.0,219.75,218.0,218.0,1856
CARG.N0000,2021-01-20,218.0,217.5,215.0,218.0,51
CARG.N0000,2021-01-21,220.0,220.25,215.75,220.0,74569
CARG.N0000,2021-01-22,230.5,235.0,220.0,230.5,498982
CARG.N0000,2021-01-25,230.0,230.0,229.0,230.0,29845
CARG.N0000,2021-01-26,235.25,240.0,232.0,235.25,387658
CARG.N0000,2021-01-27,240.25,243.0,234.0,240.25,17443
CARG.N0000,2021-01-29,240.0,241.0,236.0,240.0,31988
CARG.N0000,2021-02-01,240.25,242.0,233.0,240.25,60885
CARG.N0000,2021-02-02,235.75,239.0,235.0,235.75,16032
CARG.N0000,2021-02-03,239.5,242.25,232.0,239.5,72075
CARG.N0000,2021-02-05,235.5,240.0,235.0,235.5,11777
CARG.N0000,2021-02-08,235.0,237.0,235.0,235.0,28469
CARG.N0000,2021-02-09,232.25,234.0,230.0,232.25,56670
CARG.N0000,2021-02-10,235.0,236.0,232.0,235.0,22780
CARG.N0000,2021-02-11,234.75,235.0,230.0,234.75,21596
CARG.N0000,2021-02-12,237.5,240.0,235.0,237.5,958
CARG.N0000,2021-02-15,239.75,241.0,238.0,239.75,1755
CARG.N0000,2021-02-16,234.5,239.75,230.0,234.5,4869
CARG.N0000,2021-02-17,234.25,236.0,231.0,234.25,246
CARG.N0000,2021-02-18,235.0,235.25,232.0,235.0,7714
CARG.N0000,2021-02-19,233.5,235.0,233.0,233.5,1760
CARG.N0000,2021-02-22,234.0,234.0,231.0,234.0,3156
CARG.N0000,2021-02-23,230.25,237.0,230.0,230.25,1003
CARG.N0000,2021-02-24,230.25,237.25,232.5,230.25,72
CARG.N0000,2021-02-25,238.5,240.0,235.0,238.5,562
CARG.N0000,2021-03-01,238.5,239.0,235.5,238.5,97
CARG.N0000,2021-03-02,238.5,235.0,235.0,238.5,1
CARG.N0000,2021-03-03,235.25,240.0,235.0,235.25,119
CARG.N0000,2021-03-04,235.0,235.0,235.0,235.0,1056
CARG.N0000,2021-03-05,232.75,237.0,232.5,232.75,1520
CARG.N0000,2021-03-08,235.0,238.0,235.0,235.0,6574
CARG.N0000,2021-03-09,238.0,238.0,238.0,238.0,2000
CARG.N0000,2021-03-10,238.0,239.0,238.0,238.0,8340
CARG.N0000,2021-03-12,240.0,240.0,236.25,240.0,512
CARG.N0000,2021-03-15,235.0,239.0,235.0,235.0,33204
CARG.N0000,2021-03-16,234.0,235.0,233.0,234.0,834
CARG.N0000,2021-03-17,238.5,243.5,233.0,238.5,550
CARG.N0000,2021-03-18,238.5,233.75,233.75,238.5,10
CARG.N0000,2021-03-19,235.0,235.0,235.0,235.0,16636
CARG.N0000,2021-03-22,235.0,235.0,233.75,235.0,652
CARG.N0000,2021-03-23,235.0,237.75,233.75,235.0,50
CARG.N0000,2021-03-24,233.0,237.75,233.0,233.0,5099
CARG.N0000,2021-03-25,233.0,237.75,237.5,233.0,15
CARG.N0000,2021-03-26,233.0,233.0,233.0,233.0,229
CARG.N0000,2021-03-29,233.0,232.5,232.5,233.0,3
CARG.N0000,2021-03-30,235.0,240.0,233.0,235.0,55061
CARG.N0000,2021-03-31,235.0,237.5,233.0,235.0,10
CARG.N0000,2022-01-03,217.0,217.0,216.75,215.25,15
CARG.N0000,2022-01-04,215.0,215.0,209.0,209.5,764
CARG.N0000,2022-01-05,210.0,215.0,209.5,210.0,4556
CARG.N0000,2022-01-06,215.0,215.0,208.5,208.75,1807
CARG.N0000,2022-01-07,212.5,215.0,209.5,210.0,677
CARG.N0000,2022-01-10,210.0,210.0,209.5,209.75,2683
CARG.N0000,2022-01-11,209.0,213.0,208.5,208.75,44561
CARG.N0000,2022-01-12,216.5,216.5,209.0,210.0,1056
CARG.N0000,2022-01-13,210.25,215.0,209.0,214.75,1515
CARG.N0000,2022-01-18,212.0,215.0,211.0,212.0,8673
CARG.N0000,2022-01-19,211.0,215.75,211.0,215.0,204549
CARG.N0000,2022-01-20,213.5,215.75,213.5,215.25,214
CARG.N0000,2022-01-21,214.0,217.0,214.0,216.5,1996
CARG.N0000,2022-01-24,217.0,218.0,214.25,216.75,751
CARG.N0000,2022-01-25,218.0,218.0,214.0,215.5,2281
CARG.N0000,2022-01-26,219.0,219.0,215.0,215.75,289
CARG.N0000,2022-01-27,218.25,218.5,215.0,217.5,113
CARG.N0000,2022-01-28,213.0,213.25,210.25,213.0,649
CARG.N0000,2022-01-31,213.0,213.0,213.0,213.0,546
CARG.N0000,2022-02-01,219.0,219.0,212.75,213.0,30079
CARG.N0000,2022-02-02,212.5,219.0,210.0,217.75,6445
CARG.N0000,2022-02-03,210.0,216.0,210.0,210.0,2765
CARG.N0000,2022-02-07,211.25,211.25,210.0,210.25,14213
CARG.N0000,2022-02-08,210.0,217.5,210.0,210.0,10354
CARG.N0000,2022-02-09,210.0,217.25,210.0,210.0,1831
CARG.N0000,2022-02-10,210.0,216.0,210.0,216.0,2200
CARG.N0000,2022-02-11,217.0,217.0,208.0,208.5,825
CARG.N0000,2022-02-14,214.0,214.0,210.0,210.0,2011
CARG.N0000,2022-02-15,214.0,214.0,212.0,210.0,88
CARG.N0000,2022-02-17,210.0,213.5,210.0,210.0,90
CARG.N0000,2022-02-18,213.5,213.5,213.5,210.0,16
CARG.N0000,2022-02-21,213.5,213.75,210.0,211.25,1639
CARG.N0000,2022-02-22,210.0,214.0,200.0,213.25,2924
CARG.N0000,2022-02-23,205.0,205.0,200.0,205.0,7910
CARG.N0000,2022-02-24,200.25,210.0,200.0,200.5,787
CARG.N0000,2022-02-25,202.0,202.0,199.0,200.0,723
CARG.N0000,2022-02-28,205.0,205.0,200.0,200.0,143
CARG.N0000,2022-03-02,205.0,205.0,201.0,205.0,6155
CARG.N0000,2022-03-03,201.0,205.0,200.0,200.0,10602
CARG.N0000,2022-03-04,200.0,200.0,199.0,199.0,130
CARG.N0000,2022-03-07,200.0,200.0,197.0,197.0,583
CARG.N0000,2022-03-08,196.75,199.75,180.0,190.75,889
CARG.N0000,2022-03-09,198.0,198.0,183.75,187.5,158
CARG.N0000,2022-03-10,186.0,200.0,186.0,199.75,3730
CARG.N0000,2022-03-11,200.0,200.0,199.75,199.75,110
CARG.N0000,2022-03-14,198.0,208.5,198.0,208.0,50651
CARG.N0000,2022-03-15,200.0,200.0,199.0,199.75,2329
CARG.N0000,2022-03-16,191.0,191.0,190.0,190.0,190
CARG.N0000,2022-03-21,205.0,205.0,205.0,205.0,1600
CARG.N0000,2022-03-22,200.0,204.75,195.25,201.5,344
CARG.N0000,2022-03-23,196.0,196.0,196.0,201.5,26
CARG.N0000,2022-03-24,191.0,196.0,191.0,196.0,406
CARG.N0000,2022-03-25,191.25,200.0,190.0,192.25,739
CARG.N0000,2022-03-28,190.0,190.0,181.0,192.25,93
CARG.N0000,2022-03-29,183.0,185.0,180.0,184.75,1428
CARG.N0000,2022-03-30,188.0,188.0,176.0,180.0,7354
CARG.N0000,2022-03-31,182.0,188.0,175.0,182.5,432
CARG.N0000,2023-01-02,235.0,235.0,230.25,235.0,3583
CARG.N0000,2023-01-03,230.0,237.0,230.0,230.75,1145
CARG.N0000,2023-01-04,232.0,235.0,232.0,235.0,4154
CARG.N0000,2023-01-05,230.0,230.0,225.0,226.75,2768
CARG.N0000,2023-01-09,234.5,234.5,234.5,234.5,100
CARG.N0000,2023-01-10,223.0,234.5,223.0,230.0,1536
CARG.N0000,2023-01-11,226.0,226.0,226.0,230.0,10
CARG.N0000,2023-01-12,228.0,230.0,226.0,228.75,3652
CARG.N0000,2023-01-17,222.0,230.0,222.0,225.0,18110
CARG.N0000,2023-01-18,230.0,230.0,230.0,225.0,5
CARG.N0000,2023-01-19,229.0,229.0,229.0,225.0,4
CARG.N0000,2023-01-20,225.0,225.0,222.5,225.0,65283
CARG.N0000,2023-01-23,225.0,225.0,225.0,225.0,312
CARG.N0000,2023-01-24,222.5,225.0,220.0,220.0,1003
CARG.N0000,2023-01-25,225.0,225.0,220.5,220.0,40
CARG.N0000,2023-01-26,221.25,221.25,220.0,220.0,572
CARG.N0000,2023-01-30,224.5,225.0,208.0,220.5,1029
CARG.N0000,2023-01-31,220.0,230.0,220.0,229.75,12009
CARG.N0000,2023-02-01,229.75,234.0,229.75,229.75,42
CARG.N0000,2023-02-03,233.0,233.0,232.0,229.75,34
CARG.N0000,2023-02-06,229.0,229.0,227.0,229.75,20
CARG.N0000,2023-02-07,228.75,230.0,220.25,226.5,960
CARG.N0000,2023-02-08,230.0,230.0,225.0,226.5,26
CARG.N0000,2023-02-09,225.0,227.5,225.0,226.5,86
CARG.N0000,2023-02-10,225.25,225.25,220.75,225.0,8121
CARG.N0000,2023-02-13,228.5,228.5,221.0,224.75,1061
