symbol,date,open,high,low,close,volume
COMB.N0000,2021-01-04,72.6,73.0,70.1,72.6,307193
COMB.N0000,2021-01-05,72.7,73.2,72.5,72.7,122193
COMB.N0000,2021-01-06,73.0,73.5,72.9,73.0,100144
COMB.N0000,2021-01-07,73.1,73.4,72.9,73.1,88582
COMB.N0000,2021-01-08,73.3,73.4,72.9,73.3,48760
COMB.N0000,2021-01-11,72.9,73.0,72.6,72.9,19961
COMB.N0000,2021-01-12,72.4,73.0,72.0,72.4,94907
COMB.N0000,2021-01-13,72.0,72.5,71.6,72.0,66422
COMB.N0000,2021-01-15,74.5,74.8,71.6,74.5,150864
COMB.N0000,2021-01-18,79.8,79.9,76.9,79.8,345559
COMB.N0000,2021-01-19,88.2,95.9,79.9,88.2,613533
COMB.N0000,2021-01-20,89.5,92.6,85.5,89.5,323997
COMB.N0000,2021-01-21,87.4,89.9,85.3,87.4,155039
COMB.N0000,2021-01-22,87.3,88.9,86.2,87.3,89340
COMB.N0000,2021-01-25,89.9,92.0,88.8,89.9,241218
COMB.N0000,2021-01-26,89.2,91.5,88.7,89.2,95908
COMB.N0000,2021-01-27,86.5,89.2,85.7,86.5,230015
COMB.N0000,2021-01-29,86.3,91.0,85.9,86.3,313698
COMB.N0000,2021-02-01,86.1,88.4,85.5,86.1,62874
COMB.N0000,2021-02-02,79.0,85.7,77.5,79.0,174146
COMB.N0000,2021-02-03,81.8,83.8,79.0,81.8,139587
COMB.N0000,2021-02-05,81.7,86.5,81.5,81.7,115614
COMB.N0000,2021-02-08,81.5,82.5,81.0,81.5,35335
COMB.N0000,2021-02-09,80.1,81.8,80.0,80.1,98130
COMB.N0000,2021-02-10,78.7,80.5,77.9,78.7,26685
COMB.N0000,2021-02-11,76.8,79.0,70.0,76.8,106094
COMB.N0000,2021-02-12,79.6,80.0,77.0,79.6,17937
COMB.N0000,2021-02-15,79.2,80.0,78.0,79.2,90455
COMB.N0000,2021-02-16,76.8,78.5,76.1,76.8,44328
COMB.N0000,2021-02-17,76.3,76.9,74.0,76.3,52389
COMB.N0000,2021-02-18,76.9,77.0,75.0,76.9,162821
COMB.N0000,2021-02-19,77.7,78.0,75.6,77.7,34928
COMB.N0000,2021-02-22,78.6,78.8,78.0,78.6,67902
COMB.N0000,2021-02-23,75.6,78.6,75.1,75.6,58750
COMB.N0000,2021-02-24,76.5,77.8,75.0,76.5,39776
COMB.N0000,2021-02-25,81.4,87.0,78.0,81.4,132920
COMB.N0000,2021-03-01,81.9,82.5,81.5,81.9,66254
COMB.N0000,2021-03-02,81.0,82.0,80.0,81.0,38040
COMB.N0000,2021-03-03,80.0,81.6,79.5,80.0,78314
COMB.N0000,2021-03-04,78.2,81.5,78.0,78.2,75780
COMB.N0000,2021-03-05,79.4,81.4,78.5,79.4,63143
COMB.N0000,2021-03-08,81.4,81.5,80.0,81.4,27816
COMB.N0000,2021-03-09,81.5,81.9,81.0,81.5,52995
COMB.N0000,2021-03-10,80.0,81.6,79.9,80.0,41822
COMB.N0000,2021-03-12,81.6,81.9,80.0,81.6,32692
COMB.N0000,2021-03-15,80.1,81.0,80.0,80.1,58834
COMB.N0000,2021-03-16,81.0,81.4,80.0,81.0,43488
COMB.N0000,2021-03-17,79.7,81.7,79.0,79.7,47725
COMB.N0000,2021-03-18,80.5,81.6,79.7,80.5,38004
COMB.N0000,2021-03-19,79.3,80.8,79.0,79.3,37849
COMB.N0000,2021-03-22,80.3,80.8,79.9,80.3,10335
COMB.N0000,2021-03-23,80.4,80.6,80.1,80.4,6772
COMB.N0000,2021-03-24,82.0,82.4,80.4,82.0,23608
COMB.N0000,2021-03-25,82.5,84.0,82.0,82.5,18853
COMB.N0000,2021-03-26,83.1,84.0,82.5,83.1,48445
COMB.N0000,2021-03-29,84.0,84.2,83.1,84.0,38049
COMB.N0000,2021-03-30,83.9,84.8,83.3,83.9,165553
COMB.N0000,2021-03-31,78.6,79.2,74.4,78.6,41640
COMB.N0000,2022-01-03,73.0,73.0,71.5,72.5,348986
COMB.N0000,2022-01-04,73.0,73.5,72.5,72.6,9587
COMB.N0000,2022-01-05,72.5,73.3,72.0,72.2,46346
COMB.N0000,2022-01-06,72.0,73.5,71.5,72.7,20926
COMB.N0000,2022-01-07,72.1,74.0,71.9,72.9,181906
COMB.N0000,2022-01-10,73.6,75.6,73.0,74.4,307132
COMB.N0000,2022-01-11,75.0,75.4,74.0,75.1,61381
COMB.N0000,2022-01-12,75.4,76.8,75.0,76.4,37646
COMB.N0000,2022-01-13,75.1,76.3,75.1,76.2,45649
COMB.N0000,2022-01-18,76.0,76.4,75.4,76.1,61563
COMB.N0000,2022-01-19,76.0,77.2,76.0,77.0,92030
COMB.N0000,2022-01-20,77.0,77.5,76.5,77.2,24062
COMB.N0000,2022-01-21,77.5,77.5,77.0,77.5,35830
COMB.N0000,2022-01-24,77.5,78.5,76.9,77.6,38927
COMB.N0000,2022-01-25,78.0,78.0,76.4,76.4,32645
COMB.N0000,2022-01-26,76.2,76.2,75.0,75.3,27040
COMB.N0000,2022-01-27,75.2,76.4,75.1,75.4,125452
COMB.N0000,2022-01-28,75.5,76.0,75.0,75.9,18912
COMB.N0000,2022-01-31,76.0,76.0,75.0,75.7,39586
COMB.N0000,2022-02-01,76.0,78.0,76.0,76.7,73536
COMB.N0000,2022-02-02,77.8,77.9,75.0,75.4,49478
COMB.N0000,2022-02-03,75.1,76.6,74.5,75.4,113865
COMB.N0000,2022-02-07,76.0,76.5,75.7,76.0,12757
COMB.N0000,2022-02-08,76.0,77.0,75.6,76.3,35567
COMB.N0000,2022-02-09,76.0,76.3,75.0,75.7,104334
