symbol,date,open,high,low,close,volume
DIAL.N0000,2021-01-04,12.4,12.5,12.4,12.4,830856
DIAL.N0000,2021-01-05,12.5,12.6,12.4,12.5,1211835
DIAL.N0000,2021-01-06,12.7,12.7,12.5,12.7,418842
DIAL.N0000,2021-01-07,12.6,12.7,12.5,12.6,393239
DIAL.N0000,2021-01-08,12.6,13.0,12.6,12.6,1264702
DIAL.N0000,2021-01-11,12.7,12.8,12.6,12.7,204795
DIAL.N0000,2021-01-12,12.7,12.8,12.6,12.7,718328
DIAL.N0000,2021-01-13,12.7,13.1,12.6,12.7,1225842
DIAL.N0000,2021-01-15,12.9,13.0,12.7,12.9,675120
DIAL.N0000,2021-01-18,12.6,12.9,12.6,12.6,7282287
DIAL.N0000,2021-01-19,12.7,12.8,12.5,12.7,18400237
DIAL.N0000,2021-01-20,12.8,12.9,12.6,12.8,3290217
DIAL.N0000,2021-01-21,12.9,12.9,12.7,12.9,1789848
DIAL.N0000,2021-01-22,12.7,12.9,12.7,12.7,686613
DIAL.N0000,2021-01-25,13.0,13.0,12.7,13.0,707091
DIAL.N0000,2021-01-26,12.9,13.0,12.8,12.9,1075831
DIAL.N0000,2021-01-27,12.9,13.0,12.8,12.9,1070195
DIAL.N0000,2021-01-29,12.7,12.9,12.7,12.7,344552
DIAL.N0000,2021-02-01,12.6,12.7,12.5,12.6,5891576
DIAL.N0000,2021-02-02,12.3,12.6,12.3,12.3,3383446
DIAL.N0000,2021-02-03,12.5,12.6,12.3,12.5,745880
DIAL.N0000,2021-02-05,12.5,12.6,12.5,12.5,133037
DIAL.N0000,2021-02-08,12.4,12.6,12.4,12.4,155995
DIAL.N0000,2021-02-09,12.1,12.4,11.9,12.1,1570011
DIAL.N0000,2021-02-10,12.2,12.4,12.1,12.2,1413241
DIAL.N0000,2021-02-11,12.1,12.2,12.0,12.1,1549738
DIAL.N0000,2021-02-12,12.2,12.3,12.0,12.2,126093
DIAL.N0000,2021-02-15,12.5,12.6,12.2,12.5,7755045
DIAL.N0000,2021-02-16,12.5,12.6,12.3,12.5,809402
DIAL.N0000,2021-02-17,12.4,12.5,12.4,12.4,480227
DIAL.N0000,2021-02-18,12.4,12.6,12.4,12.4,247719
DIAL.N0000,2021-02-19,12.4,12.5,12.4,12.4,1737290
DIAL.N0000,2021-02-22,12.9,13.1,12.6,12.9,2056810
DIAL.N0000,2021-02-23,12.7,12.9,12.6,12.7,2244500
DIAL.N0000,2021-02-24,12.7,12.8,12.7,12.7,620108
DIAL.N0000,2021-02-25,12.7,12.8,12.6,12.7,1000119
DIAL.N0000,2021-03-01,12.7,12.8,12.6,12.7,262541
DIAL.N0000,2021-03-02,12.7,12.8,12.6,12.7,1492624
DIAL.N0000,2021-03-03,12.7,12.8,12.6,12.7,657556
DIAL.N0000,2021-03-04,12.7,12.8,12.6,12.7,9859808
DIAL.N0000,2021-03-05,12.7,12.8,12.6,12.7,504269
DIAL.N0000,2021-03-08,12.9,13.0,12.7,12.9,1229082
DIAL.N0000,2021-03-09,13.0,13.1,12.9,13.0,2217492
DIAL.N0000,2021-03-10,13.0,13.1,13.0,13.0,1674644
DIAL.N0000,2021-03-12,13.1,13.2,13.0,13.1,212970
DIAL.N0000,2021-03-15,13.1,13.2,13.0,13.1,1889938
DIAL.N0000,2021-03-16,13.2,13.2,13.0,13.2,343033
DIAL.N0000,2021-03-17,13.1,13.2,13.0,13.1,465089
DIAL.N0000,2021-03-18,12.9,13.2,12.7,12.9,1922908
DIAL.N0000,2021-03-19,13.0,13.0,12.8,13.0,35548
DIAL.N0000,2021-03-22,12.9,13.0,12.8,12.9,126388
DIAL.N0000,2021-03-23,12.8,13.0,12.7,12.8,124871
