symbol,date,open,high,low,close,volume
DIST.N0000,2021-01-04,20.8,20.9,20.4,20.8,130623
DIST.N0000,2021-01-05,21.3,21.7,20.9,21.3,773715
DIST.N0000,2021-01-06,21.5,21.7,21.0,21.5,741923
DIST.N0000,2021-01-07,21.5,22.0,21.5,21.5,398646
DIST.N0000,2021-01-08,22.9,23.0,21.7,22.9,1636365
DIST.N0000,2021-01-11,22.9,23.0,22.5,22.9,1471205
DIST.N0000,2021-01-12,22.4,22.9,22.2,22.4,579709
DIST.N0000,2021-01-13,22.9,23.5,22.8,22.9,3680531
DIST.N0000,2021-01-15,24.3,24.5,23.0,24.3,2448700
DIST.N0000,2021-01-18,23.8,24.5,23.6,23.8,502122
DIST.N0000,2021-01-19,23.2,24.4,23.0,23.2,1401664
DIST.N0000,2021-01-20,23.3,23.5,22.5,23.3,491847
DIST.N0000,2021-01-21,23.1,23.3,22.9,23.1,542753
DIST.N0000,2021-01-22,24.5,24.6,23.1,24.5,4162753
DIST.N0000,2021-01-25,24.1,24.4,23.8,24.1,1923805
DIST.N0000,2021-01-26,23.7,24.5,23.5,23.7,497368
DIST.N0000,2021-01-27,23.1,24.0,23.1,23.1,276310
DIST.N0000,2021-01-29,23.0,24.0,23.0,23.0,169327
DIST.N0000,2021-02-01,22.6,23.5,22.5,22.6,218884
DIST.N0000,2021-02-02,21.0,22.5,21.0,21.0,375306
DIST.N0000,2021-02-03,21.2,22.0,20.9,21.2,1193503
DIST.N0000,2021-02-05,20.9,22.0,20.9,20.9,218335
DIST.N0000,2021-02-08,20.5,21.5,20.5,20.5,80549
DIST.N0000,2021-02-09,20.4,21.0,20.2,20.4,94566
DIST.N0000,2021-02-10,20.0,21.4,19.9,20.0,498446
DIST.N0000,2021-02-11,19.7,21.7,19.2,19.7,153900
DIST.N0000,2021-02-12,21.2,21.8,20.8,21.2,143716
DIST.N0000,2021-02-15,20.9,21.8,20.8,20.9,84376
DIST.N0000,2021-02-16,20.1,21.0,20.0,20.1,56353
DIST.N0000,2021-02-17,20.0,20.5,19.8,20.0,83091
DIST.N0000,2021-02-18,20.5,21.0,20.0,20.5,34774
DIST.N0000,2021-02-19,21.2,21.3,20.2,21.2,215073
DIST.N0000,2021-02-22,20.7,21.1,20.5,20.7,22669
DIST.N0000,2021-02-23,20.0,20.8,20.0,20.0,126650
DIST.N0000,2021-02-24,20.7,21.4,20.0,20.7,9131
DIST.N0000,2021-02-25,21.1,21.1,20.7,21.1,42514
DIST.N0000,2021-03-01,20.9,21.3,20.0,20.9,36519
DIST.N0000,2021-03-02,20.0,21.2,20.0,20.0,33663
DIST.N0000,2021-03-03,19.9,20.8,19.9,19.9,22704
DIST.N0000,2021-03-04,19.6,20.0,19.5,19.6,37507
DIST.N0000,2021-03-05,19.9,20.1,19.6,19.9,48695
DIST.N0000,2021-03-08,21.0,21.2,20.0,21.0,404871
DIST.N0000,2021-03-09,20.8,21.3,20.8,20.8,21271
DIST.N0000,2021-03-10,20.4,21.4,20.4,20.4,1704
DIST.N0000,2021-03-12,20.4,21.0,20.0,20.4,127725
DIST.N0000,2021-03-15,20.0,20.9,20.0,20.0,19822
DIST.N0000,2021-03-16,19.9,20.4,19.5,19.9,73584
DIST.N0000,2021-03-17,19.8,20.0,19.8,19.8,4245
DIST.N0000,2021-03-18,19.5,19.9,19.5,19.5,132664
DIST.N0000,2021-03-19,19.8,19.9,19.5,19.8,36827
DIST.N0000,2021-03-22,19.9,19.9,19.5,19.9,10544
DIST.N0000,2021-03-23,19.8,20.0,19.5,19.8,15499
DIST.N0000,2021-03-24,20.0,20.0,19.5,20.0,52574
DIST.N0000,2021-03-25,19.8,20.0,19.7,19.8,21121
DIST.N0000,2021-03-26,19.9,20.0,19.8,19.9,3252
DIST.N0000,2021-03-29,19.8,20.0,19.8,19.8,3315
DIST.N0000,2021-03-30,19.9,19.9,19.7,19.9,10798
DIST.N0000,2021-03-31,19.9,20.0,19.8,19.9,64283
DIST.N0000,2022-01-03,17.5,17.5,17.0,17.2,240588
DIST.N0000,2022-01-04,17.5,18.5,17.0,18.1,1506358
DIST.N0000,2022-01-05,18.1,19.2,18.1,18.8,2025599
DIST.N0000,2022-01-06,18.4,19.3,18.4,19.0,1285296
DIST.N0000,2022-01-07,19.0,19.2,18.4,18.7,634086
DIST.N0000,2022-01-10,18.5,19.0,17.9,18.1,541233
DIST.N0000,2022-01-11,18.1,18.4,17.5,17.9,296283
DIST.N0000,2022-01-12,18.0,18.0,17.5,17.8,75238
DIST.N0000,2022-01-13,17.6,18.0,17.6,17.7,159476
DIST.N0000,2022-01-18,17.9,18.2,17.8,17.9,303954
DIST.N0000,2022-01-19,18.0,18.0,17.7,17.9,68301
DIST.N0000,2022-01-20,17.9,18.2,17.8,17.9,246467
DIST.N0000,2022-01-21,18.0,18.5,18.0,18.2,56783
DIST.N0000,2022-01-24,18.4,18.4,17.7,18.0,107306
DIST.N0000,2022-01-25,18.1,18.1,17.3,17.5,1845106
DIST.N0000,2022-01-26,17.4,17.8,17.1,17.5,211910
DIST.N0000,2022-01-27,17.4,17.7,17.2,17.2,88686
DIST.N0000,2022-01-28,17.2,17.5,17.0,17.4,211255
DIST.N0000,2022-01-31,17.5,17.6,17.1,17.3,85098
DIST.N0000,2022-02-01,17.4,17.4,17.1,17.2,151713
DIST.N0000,2022-02-02,17.1,17.4,16.6,17.0,784529
DIST.N0000,2022-02-03,17.1,17.1,16.8,16.9,133798
DIST.N0000,2022-02-07,17.1,17.1,16.9,16.9,16904
DIST.N0000,2022-02-08,17.0,17.0,16.6,16.7,136581
DIST.N0000,2022-02-09,16.7,17.0,16.3,16.5,488386
DIST.N0000,2022-02-10,16.3,16.9,16.3,16.5,79265
DIST.N0000,2022-02-11,16.6,16.9,16.3,16.5,51672
DIST.N0000,2022-02-14,16.9,16.9,16.6,16.7,36319
DIST.N0000,2022-02-15,16.8,16.8,16.1,16.4,156557
DIST.N0000,2022-02-17,16.1,16.9,16.1,16.6,273280
DIST.N0000,2022-02-18,16.7,16.8,16.2,16.3,1095352
DIST.N0000,2022-02-21,16.3,16.5,16.0,16.2,198857
DIST.N0000,2022-02-22,16.3,16.9,16.2,16.2,71950
DIST.N0000,2022-02-23,16.1,16.3,15.8,16.1,440163
DIST.N0000,2022-02-24,16.1,16.7,16.0,16.0,2207705
