symbol,date,open,high,low,close,volume
EXPO.N0000,2021-01-04,30.9,31.5,29.2,30.9,19074973
EXPO.N0000,2021-01-05,32.0,32.6,31.8,32.0,19748621
EXPO.N0000,2021-01-06,31.5,32.4,31.1,31.5,11900352
EXPO.N0000,2021-01-07,31.0,31.6,30.4,31.0,12605970
EXPO.N0000,2021-01-08,34.3,34.9,31.5,34.3,27542375
EXPO.N0000,2021-01-11,38.6,39.9,35.3,38.6,39061510
EXPO.N0000,2021-01-12,41.3,42.9,38.9,41.3,26364564
EXPO.N0000,2021-01-13,47.0,48.0,44.0,47.0,33928291
EXPO.N0000,2021-01-15,53.4,54.0,48.0,53.4,38061882
EXPO.N0000,2021-01-18,53.8,58.9,52.8,53.8,29144910
EXPO.N0000,2021-01-19,50.0,54.5,48.9,50.0,19353378
EXPO.N0000,2021-01-20,51.3,53.0,50.0,51.3,12982354
EXPO.N0000,2021-01-21,50.7,51.9,49.0,50.7,7203378
EXPO.N0000,2021-01-22,55.1,56.4,51.4,55.1,20554439
EXPO.N0000,2021-01-25,61.9,62.8,57.5,61.9,30236711
EXPO.N0000,2021-01-26,61.0,64.6,60.1,61.0,22651088
EXPO.N0000,2021-01-27,55.9,60.9,54.5,55.9,30468900
EXPO.N0000,2021-01-29,50.5,57.1,42.0,50.5,18776592
EXPO.N0000,2021-02-01,51.3,54.6,50.9,51.3,9893475
EXPO.N0000,2021-02-02,46.3,53.0,43.0,46.3,9924709
EXPO.N0000,2021-02-03,49.9,51.5,46.0,49.9,12140181
EXPO.N0000,2021-02-05,54.3,54.5,51.1,54.3,16338149
EXPO.N0000,2021-02-08,53.5,56.4,52.2,53.5,8117910
EXPO.N0000,2021-02-09,51.7,53.5,50.5,51.7,7355287
EXPO.N0000,2021-02-10,49.2,52.5,48.6,49.2,6750149
EXPO.N0000,2021-02-11,47.2,50.0,38.4,47.2,12519238
EXPO.N0000,2021-02-12,51.8,52.3,49.0,51.8,9852563
EXPO.N0000,2021-02-15,49.4,53.0,49.0,49.4,8010328
EXPO.N0000,2021-02-16,45.7,50.0,45.0,45.7,6515464
EXPO.N0000,2021-02-17,47.0,48.0,42.5,47.0,4054743
EXPO.N0000,2021-02-18,47.9,49.5,47.0,47.9,2959596
EXPO.N0000,2021-02-19,47.1,48.9,46.8,47.1,1284428
EXPO.N0000,2021-02-22,44.3,47.0,44.0,44.3,4889223
EXPO.N0000,2021-02-23,40.5,44.5,39.9,40.5,8810606
EXPO.N0000,2021-02-24,41.0,43.0,39.9,41.0,7815700
EXPO.N0000,2021-02-25,46.5,47.9,41.0,46.5,9988516
EXPO.N0000,2021-03-01,47.1,48.6,46.5,47.1,6740893
EXPO.N0000,2021-03-02,46.0,47.5,45.3,46.0,3133476
EXPO.N0000,2021-03-03,44.7,46.4,42.8,44.7,4445202
EXPO.N0000,2021-03-04,43.1,46.7,42.8,43.1,6558051
EXPO.N0000,2021-03-05,44.3,45.0,41.0,44.3,4282193
EXPO.N0000,2021-03-08,48.4,49.0,44.5,48.4,8458249
EXPO.N0000,2021-03-09,46.5,49.9,46.1,46.5,7036883
EXPO.N0000,2021-03-10,46.1,47.5,45.5,46.1,1051151
EXPO.N0000,2021-03-12,47.6,48.5,46.3,47.6,3128515
EXPO.N0000,2021-03-15,46.6,48.5,46.3,46.6,1594060
EXPO.N0000,2021-03-16,46.0,46.8,44.5,46.0,3583041
EXPO.N0000,2021-03-17,44.7,46.3,44.4,44.7,3390050
EXPO.N0000,2021-03-18,42.7,45.0,42.0,42.7,2630346
EXPO.N0000,2021-03-19,41.7,43.3,40.9,41.7,3566424
EXPO.N0000,2021-03-22,43.3,43.6,42.0,43.3,1568943
EXPO.N0000,2021-03-23,43.5,44.0,42.0,43.5,970463
EXPO.N0000,2021-03-24,46.0,46.3,42.1,46.0,4490407
EXPO.N0000,2021-03-25,44.3,47.0,43.6,44.3,2892602
EXPO.N0000,2021-03-26,44.7,45.4,43.1,44.7,831179
EXPO.N0000,2021-03-29,45.3,46.0,44.2,45.3,2906345
EXPO.N0000,2021-03-30,44.8,45.8,44.6,44.8,895934
EXPO.N0000,2021-03-31,44.7,45.1,44.0,44.7,1835398
EXPO.N0000,2022-01-03,377.0,393.5,377.0,386.75,1169222
EXPO.N0000,2022-01-04,388.0,388.5,378.0,382.25,893353
EXPO.N0000,2022-01-05,390.0,405.0,390.0,396.5,2727987
EXPO.N0000,2022-01-06,400.0,405.0,396.0,398.5,985893
EXPO.N0000,2022-01-07,400.0,402.5,392.75,394.25,1377965
EXPO.N0000,2022-01-10,399.0,399.0,385.0,387.25,1938394
