symbol,date,open,high,low,close,volume
HAYL.N0000,2021-01-04,415.2,416.9,410.1,415.2,146804
HAYL.N0000,2021-01-05,419.2,420.5,414.0,419.2,237896
HAYL.N0000,2021-01-06,426.0,430.0,421.0,426.0,483880
HAYL.N0000,2021-01-07,417.9,425.0,415.0,417.9,153871
HAYL.N0000,2021-01-08,416.75,419.0,415.0,416.75,26420
HAYL.N0000,2021-01-11,425.75,427.75,415.25,425.75,717851
HAYL.N0000,2021-01-12,452.5,456.0,430.0,452.5,1065481
HAYL.N0000,2021-01-13,470.25,490.0,455.0,470.25,374957
HAYL.N0000,2021-01-15,491.25,499.5,471.0,491.25,559479
HAYL.N0000,2021-01-18,498.25,514.75,491.25,498.25,508894
HAYL.N0000,2021-01-19,497.5,510.0,480.25,497.5,371424
HAYL.N0000,2021-01-20,577.5,600.0,495.0,577.5,1095413
HAYL.N0000,2021-01-21,780.0,860.0,630.0,780.0,1833706
HAYL.N0000,2021-01-22,752.0,810.0,735.0,752.0,524195
HAYL.N0000,2021-01-25,793.0,799.75,720.0,793.0,731703
HAYL.N0000,2021-01-26,792.0,839.0,789.0,792.0,585754
HAYL.N0000,2021-01-27,802.25,820.0,780.0,802.25,341165
HAYL.N0000,2021-01-29,772.0,815.0,755.5,772.0,298588
HAYL.N0000,2021-02-01,741.5,772.0,731.0,741.5,326743
HAYL.N0000,2021-02-02,711.25,799.0,650.0,711.25,426133
HAYL.N0000,2021-02-03,734.5,755.0,700.0,734.5,206289
HAYL.N0000,2021-02-05,781.75,790.0,735.0,781.75,285188
HAYL.N0000,2021-02-08,776.0,805.0,770.0,776.0,268159
HAYL.N0000,2021-02-09,746.5,780.0,730.0,746.5,149470
HAYL.N0000,2021-02-10,680.5,740.0,650.25,680.5,350977
HAYL.N0000,2021-02-16,65.5,73.0,64.3,65.5,3688484
HAYL.N0000,2021-02-17,68.8,71.0,62.0,68.8,2989810
HAYL.N0000,2021-02-18,73.1,74.8,70.5,73.1,1955138
HAYL.N0000,2021-02-19,70.1,74.0,66.0,70.1,675775
HAYL.N0000,2021-02-22,66.0,70.0,65.7,66.0,961304
HAYL.N0000,2021-02-23,60.5,65.0,57.0,60.5,1201078
HAYL.N0000,2021-02-24,61.3,65.4,59.0,61.3,1204036
HAYL.N0000,2021-02-25,62.0,64.0,60.0,62.0,989490
HAYL.N0000,2021-03-01,60.6,63.1,60.1,60.6,583558
HAYL.N0000,2021-03-02,57.7,61.0,57.0,57.7,1306121
HAYL.N0000,2021-03-03,54.6,58.0,52.2,54.6,1666792
HAYL.N0000,2021-03-04,52.5,57.4,52.0,52.5,2171484
HAYL.N0000,2021-03-05,54.5,55.5,52.0,54.5,1625088
HAYL.N0000,2021-03-08,60.4,61.2,54.9,60.4,2344516
HAYL.N0000,2021-03-09,60.5,65.0,58.7,60.5,2516546
HAYL.N0000,2021-03-10,59.3,61.0,58.5,59.3,280226
HAYL.N0000,2021-03-12,60.7,62.0,60.0,60.7,400686
HAYL.N0000,2021-03-15,58.7,60.9,58.0,58.7,490587
HAYL.N0000,2021-03-16,56.3,59.0,54.2,56.3,619447
HAYL.N0000,2021-03-17,55.0,57.0,54.6,55.0,1119151
HAYL.N0000,2021-03-18,53.6,56.0,53.4,53.6,1467283
HAYL.N0000,2021-03-19,52.9,54.0,52.1,52.9,401412
HAYL.N0000,2021-03-22,54.5,55.3,53.0,54.5,524462
HAYL.N0000,2021-03-23,55.1,55.7,54.0,55.1,341542
HAYL.N0000,2021-03-24,58.3,59.0,54.1,58.3,1301528
