symbol,date,open,high,low,close,volume
HEMA.N0000,2024-07-22,83.01,83.94,82.62,83.28,66239
HEMA.N0000,2024-07-23,82.88,83.67,81.39,82.53,114854
HEMA.N0000,2024-07-24,83.24,84.52,83.05,83.78,156349
HEMA.N0000,2024-07-25,83.75,84.12,83.52,83.82,350420
HEMA.N0000,2024-07-26,84.63,84.67,82.99,83.83,113012
HEMA.N0000,2024-07-29,84.92,85.15,83.22,84.18,399272
HEMA.N0000,2024-07-30,84.33,85.38,83.85,84.61,133454
HEMA.N0000,2024-07-31,83.71,83.76,81.75,82.76,68081
HEMA.N0000,2024-08-01,83.92,84.44,83.05,83.74,436493
HEMA.N0000,2024-08-02,84.03,84.28,83.63,83.96,203089
HEMA.N0000,2024-08-05,83.23,85.23,82.87,84.05,114048
HEMA.N0000,2024-08-06,84.9,85.26,84.46,84.86,228996
HEMA.N0000,2024-08-07,83.66,84.56,82.21,83.38,170906
HEMA.N0000,2024-08-08,84.1,85.1,83.14,84.12,374761
HEMA.N0000,2024-08-09,82.81,83.0,80.58,81.79,252417
HEMA.N0000,2024-08-12,80.7,82.61,80.07,81.34,274533
HEMA.N0000,2024-08-13,80.97,82.78,80.36,81.57,295017
HEMA.N0000,2024-08-14,82.2,82.94,82.08,82.51,309109
HEMA.N0000,2024-08-15,83.72,83.92,81.95,82.93,246830
HEMA.N0000,2024-08-16,83.62,84.37,81.96,83.16,150052
HEMA.N0000,2024-08-19,80.39,81.94,80.28,81.11,262973
HEMA.N0000,2024-08-20,82.42,83.47,81.55,82.51,419868
HEMA.N0000,2024-08-21,82.56,82.78,81.97,82.37,447229
HEMA.N0000,2024-08-22,86.45,86.65,85.35,86.0,327610
HEMA.N0000,2024-08-23,85.28,88.06,85.05,86.56,285317
HEMA.N0000,2024-08-26,86.66,86.9,85.17,86.04,452193
HEMA.N0000,2024-08-27,87.23,87.6,86.06,86.83,52438
HEMA.N0000,2024-08-28,86.2,87.19,84.44,85.81,62037
HEMA.N0000,2024-08-29,86.56,87.12,84.19,85.65,202824
HEMA.N0000,2024-08-30,86.07,86.45,85.27,85.86,424584
HEMA.N0000,2024-09-02,85.64,87.8,84.9,86.35,318765
HEMA.N0000,2024-09-03,85.9,86.98,85.41,86.2,383841
HEMA.N0000,2024-09-04,83.68,83.92,83.3,83.61,235131
HEMA.N0000,2024-09-05,83.01,83.58,81.04,82.31,312179
HEMA.N0000,2024-09-06,83.15,84.13,82.38,83.25,276433
HEMA.N0000,2024-09-09,82.11,82.28,81.07,81.68,119962
HEMA.N0000,2024-09-10,82.92,84.26,82.92,83.59,200127
HEMA.N0000,2024-09-11,81.44,81.9,81.21,81.56,134773
HEMA.N0000,2024-09-12,80.59,81.91,80.12,81.02,413007
HEMA.N0000,2024-09-13,82.71,83.25,80.96,82.1,230488
HEMA.N0000,2024-09-16,81.28,82.32,79.69,81.0,100692
HEMA.N0000,2024-09-17,80.38,80.4,79.34,79.87,60765
HEMA.N0000,2024-09-18,79.86,80.41,79.74,80.08,330361
HEMA.N0000,2024-09-19,80.32,80.37,79.47,79.92,318421
HEMA.N0000,2024-09-20,80.33,80.62,77.89,79.26,123886
HEMA.N0000,2024-09-23,78.96,79.52,77.67,78.6,141782
HEMA.N0000,2024-09-24,77.49,78.13,75.9,77.02,469058
HEMA.N0000,2024-09-25,75.8,76.77,74.51,75.64,91075
HEMA.N0000,2024-09-26,75.03,76.38,74.55,75.46,106455
HEMA.N0000,2024-09-27,72.47,73.01,71.58,72.3,245347
HEMA.N0000,2024-09-30,70.06,71.93,70.01,70.97,52860
HEMA.N0000,2024-10-01,70.3,71.0,69.89,70.45,434602
HEMA.N0000,2024-10-02,69.98,70.3,69.67,69.98,439634
HEMA.N0000,2024-10-03,68.47,68.91,68.26,68.58,242170
HEMA.N0000,2024-10-04,67.67,67.78,66.67,67.23,271746
HEMA.N0000,2024-10-07,70.02,70.45,69.51,69.98,273622
HEMA.N0000,2024-10-08,68.42,69.55,67.26,68.4,217345
HEMA.N0000,2024-10-09,69.06,69.2,68.64,68.92,402361
HEMA.N0000,2024-10-10,69.6,69.75,68.65,69.2,76760
HEMA.N0000,2024-10-11,67.96,68.25,67.41,67.83,161489
HEMA.N0000,2024-10-14,67.89,68.22,67.23,67.72,189176
HEMA.N0000,2024-10-15,67.0,67.42,66.42,66.92,190788
HEMA.N0000,2024-10-16,66.6,67.05,65.61,66.33,108871
HEMA.N0000,2024-10-17,64.86,65.88,64.83,65.36,197690
HEMA.N0000,2024-10-18,63.0,64.66,62.45,63.55,338754
HEMA.N0000,2024-10-21,64.46,65.28,64.43,64.86,63249
HEMA.N0000,2024-10-22,66.88,68.06,66.35,67.2,65596
HEMA.N0000,2024-10-23,68.71,69.42,67.98,68.7,336777
HEMA.N0000,2024-10-24,68.26,68.91,67.73,68.32,255317
HEMA.N0000,2024-10-25,72.16,72.22,69.86,71.04,221406
HEMA.N0000,2024-10-28,70.86,71.55,69.56,70.55,429327
HEMA.N0000,2024-10-29,69.81,70.93,69.35,70.14,16044
HEMA.N0000,2024-10-30,69.47,70.21,68.35,69.28,362908
HEMA.N0000,2024-10-31,68.86,69.85,68.81,69.33,492990
HEMA.N0000,2024-11-01,71.15,72.26,70.73,71.5,171947
HEMA.N0000,2024-11-04,70.62,71.08,70.28,70.68,360896
HEMA.N0000,2024-11-05,72.32,73.94,71.57,72.75,415898
HEMA.N0000,2024-11-06,75.97,76.17,73.84,75.01,78744
HEMA.N0000,2024-11-07,73.94,74.86,73.81,74.33,170179
HEMA.N0000,2024-11-08,73.75,74.83,72.56,73.7,109056
HEMA.N0000,2024-11-11,74.38,75.66,73.32,74.49,161527
HEMA.N0000,2024-11-12,74.99,76.08,73.81,74.94,477612
HEMA.N0000,2024-11-13,77.78,78.4,76.89,77.65,224033
HEMA.N0000,2024-11-14,77.28,77.46,76.65,77.05,308189
HEMA.N0000,2024-11-15,77.42,77.66,76.47,77.07,323069
HEMA.N0000,2024-11-18,78.03,78.12,77.51,77.82,115633
HEMA.N0000,2024-11-19,78.59,80.81,78.12,79.46,375790
HEMA.N0000,2024-11-20,79.25,79.72,77.0,78.36,256101
HEMA.N0000,2024-11-21,77.15,78.7,76.71,77.7,12430
HEMA.N0000,2024-11-22,81.83,82.35,79.57,80.96,25922
HEMA.N0000,2024-11-25,80.15,82.08,79.53,80.81,344845
HEMA.N0000,2024-11-26,79.31,80.23,79.1,79.66,433710
HEMA.N0000,2024-11-27,84.18,84.25,83.59,83.92,382802
HEMA.N0000,2024-11-28,87.54,88.68,85.92,87.3,256320
HEMA.N0000,2024-11-29,86.71,89.14,86.11,87.63,266580
HEMA.N0000,2024-12-02,88.78,89.55,87.31,88.43,36962
HEMA.N0000,2024-12-03,88.18,88.19,87.38,87.79,136608
HEMA.N0000,2024-12-04,88.48,89.61,87.33,88.47,43534
HEMA.N0000,2024-12-05,85.71,85.99,85.0,85.5,201516
HEMA.N0000,2024-12-06,83.67,85.02,83.12,84.07,15990
HEMA.N0000,2024-12-09,82.13,82.7,80.25,81.47,180244
HEMA.N0000,2024-12-10,79.36,79.66,78.99,79.33,111620
HEMA.N0000,2024-12-11,79.72,79.89,78.91,79.4,128566
HEMA.N0000,2024-12-12,80.17,81.03,79.1,80.07,416320
HEMA.N0000,2024-12-13,79.0,81.54,78.97,80.25,230984
HEMA.N0000,2024-12-16,82.23,82.76,82.01,82.39,33598
HEMA.N0000,2024-12-17,79.56,80.19,79.51,79.85,92084
HEMA.N0000,2024-12-18,80.46,81.0,78.22,79.61,402970
HEMA.N0000,2024-12-19,81.23,81.4,78.62,80.01,330387
HEMA.N0000,2024-12-20,77.16,78.62,76.7,77.66,24528
HEMA.N0000,2024-12-23,76.99,78.5,76.63,77.57,183308
HEMA.N0000,2024-12-24,78.83,79.86,78.47,79.17,448587
HEMA.N0000,2024-12-25,80.01,80.11,77.74,78.92,27774
HEMA.N0000,2024-12-26,80.32,80.39,78.7,79.54,294529
HEMA.N0000,2024-12-27,82.48,82.57,79.77,81.17,379635
HEMA.N0000,2024-12-30,81.36,81.86,79.1,80.48,67871
HEMA.N0000,2024-12-31,78.01,78.18,76.52,77.35,334375
HEMA.N0000,2025-01-01,79.15,80.67,77.95,79.31,66774
HEMA.N0000,2025-01-02,82.0,83.88,81.85,82.86,309563
HEMA.N0000,2025-01-03,83.39,83.51,81.88,82.69,112842
HEMA.N0000,2025-01-06,83.08,84.37,81.91,83.14,449221
HEMA.N0000,2025-01-07,85.47,85.9,83.74,84.82,231530
HEMA.N0000,2025-01-08,87.49,88.01,86.56,87.28,222621
HEMA.N0000,2025-01-09,89.36,89.48,87.52,88.5,244305
HEMA.N0000,2025-01-10,86.36,87.84,84.86,86.35,433849
HEMA.N0000,2025-01-13,84.58,85.02,84.01,84.52,382991
HEMA.N0000,2025-01-14,83.7,85.72,83.45,84.59,405403
HEMA.N0000,2025-01-15,87.44,88.07,86.92,87.5,311769
HEMA.N0000,2025-01-16,86.52,88.74,86.09,87.41,302689
HEMA.N0000,2025-01-17,88.66,89.56,86.82,88.19,111913
HEMA.N0000,2025-01-20,88.91,89.3,86.5,87.9,387205
HEMA.N0000,2025-01-21,87.45,88.92,86.02,87.47,255755
HEMA.N0000,2025-01-22,90.23,91.61,89.58,90.6,469287
HEMA.N0000,2025-01-23,91.62,92.29,91.55,91.92,258113
HEMA.N0000,2025-01-24,91.48,92.91,90.31,91.61,469456
HEMA.N0000,2025-01-27,90.55,90.95,89.72,90.34,324699
HEMA.N0000,2025-01-28,91.86,93.27,91.17,92.22,276476
HEMA.N0000,2025-01-29,93.76,94.27,91.52,92.89,348509
HEMA.N0000,2025-01-30,90.38,92.35,90.26,91.3,179621
HEMA.N0000,2025-01-31,92.22,93.18,92.01,92.59,494729
HEMA.N0000,2025-02-03,91.28,94.03,90.87,92.45,476805
HEMA.N0000,2025-02-04,91.5,92.68,91.28,91.98,448423
HEMA.N0000,2025-02-05,91.12,93.34,90.91,92.13,192896
HEMA.N0000,2025-02-06,91.11,91.4,90.1,90.75,187845
HEMA.N0000,2025-02-07,88.7,89.92,87.29,88.61,177691
HEMA.N0000,2025-02-10,90.08,91.65,88.75,90.2,170727
HEMA.N0000,2025-02-11,90.85,92.37,89.42,90.9,335437
HEMA.N0000,2025-02-12,90.97,91.4,90.73,91.06,61137
HEMA.N0000,2025-02-13,93.02,94.93,92.91,93.92,430762
HEMA.N0000,2025-02-14,93.45,94.84,92.51,93.67,300032
HEMA.N0000,2025-02-17,91.93,93.61,91.55,92.58,284880
HEMA.N0000,2025-02-18,89.37,89.73,88.62,89.17,66431
HEMA.N0000,2025-02-19,87.99,89.33,87.05,88.19,30721
HEMA.N0000,2025-02-20,87.7,89.15,87.21,88.18,433607
HEMA.N0000,2025-02-21,90.27,92.97,90.15,91.56,463320
HEMA.N0000,2025-02-24,92.38,93.02,90.66,91.84,209256
HEMA.N0000,2025-02-25,90.94,90.94,88.73,89.83,140985
HEMA.N0000,2025-02-26,89.86,90.29,87.48,88.89,67197
HEMA.N0000,2025-02-27,88.6,89.9,88.43,89.17,113421
HEMA.N0000,2025-02-28,87.25,88.83,86.93,87.88,145988
HEMA.N0000,2025-03-03,86.85,88.04,86.81,87.43,400185
HEMA.N0000,2025-03-04,85.04,87.29,84.99,86.14,320143
HEMA.N0000,2025-03-05,88.43,90.23,88.31,89.27,227996
HEMA.N0000,2025-03-06,88.8,90.07,86.98,88.52,276548
HEMA.N0000,2025-03-07,87.59,87.62,86.52,87.07,172656
HEMA.N0000,2025-03-10,83.2,85.92,83.16,84.54,54061
HEMA.N0000,2025-03-11,85.44,86.22,83.46,84.84,405586
HEMA.N0000,2025-03-12,80.48,81.69,80.15,80.92,217388
HEMA.N0000,2025-03-13,80.12,80.66,79.85,80.26,499694
HEMA.N0000,2025-03-14,77.71,78.04,77.37,77.7,105257
HEMA.N0000,2025-03-17,76.16,77.69,76.11,76.9,463470
HEMA.N0000,2025-03-18,74.34,75.67,73.93,74.8,233312
HEMA.N0000,2025-03-19,74.61,75.16,74.13,74.65,75088
HEMA.N0000,2025-03-20,76.91,77.22,75.79,76.5,146477
HEMA.N0000,2025-03-21,78.65,78.9,78.08,78.49,69496
HEMA.N0000,2025-03-24,80.45,81.5,79.96,80.73,447256
HEMA.N0000,2025-03-25,83.04,84.45,82.86,83.65,367241
HEMA.N0000,2025-03-26,80.46,82.17,80.02,81.1,12314
HEMA.N0000,2025-03-27,80.12,80.45,79.52,79.99,288519
HEMA.N0000,2025-03-28,79.88,80.61,79.16,79.88,373211
HEMA.N0000,2025-03-31,78.59,79.78,77.79,78.78,224814
HEMA.N0000,2025-04-01,78.29,78.43,77.69,78.06,115083
