symbol,date,open,high,low,close,volume
HNB.N0000,2021-01-04,103.7,105.0,101.0,103.7,424927
HNB.N0000,2021-01-05,104.4,104.7,102.3,104.4,301946
HNB.N0000,2021-01-06,104.6,105.9,102.4,104.6,242713
HNB.N0000,2021-01-07,104.1,105.0,102.5,104.1,257191
HNB.N0000,2021-01-08,105.25,106.0,104.0,105.25,487702
HNB.N0000,2021-01-11,106.25,107.5,105.25,106.25,98966
HNB.N0000,2021-01-12,106.5,107.75,105.25,106.5,241639
HNB.N0000,2021-01-13,105.25,107.5,104.75,105.25,237546
HNB.N0000,2021-01-15,106.0,107.0,105.0,106.0,558999
HNB.N0000,2021-01-18,112.0,115.0,108.0,112.0,1339492
HNB.N0000,2021-01-19,118.75,124.0,110.0,118.75,1427202
HNB.N0000,2021-01-20,121.0,126.0,116.0,121.0,4104683
HNB.N0000,2021-01-21,117.5,122.5,116.75,117.5,1975578
HNB.N0000,2021-01-22,117.5,121.5,116.0,117.5,1264111
HNB.N0000,2021-01-25,126.5,129.0,120.0,126.5,2538486
HNB.N0000,2021-01-26,124.5,128.0,123.0,124.5,1061508
HNB.N0000,2021-01-27,118.75,124.5,118.0,118.75,413551
HNB.N0000,2021-01-29,121.0,130.75,119.25,121.0,1053258
HNB.N0000,2021-02-01,118.0,125.0,117.25,118.0,625195
HNB.N0000,2021-02-02,112.5,118.0,110.25,112.5,411327
HNB.N0000,2021-02-03,116.5,118.0,109.25,116.5,269267
HNB.N0000,2021-02-05,116.5,118.0,115.5,116.5,125544
HNB.N0000,2021-02-08,113.0,118.75,113.0,113.0,246925
HNB.N0000,2021-02-09,111.75,116.0,109.75,111.75,517291
HNB.N0000,2021-02-10,109.5,111.75,108.75,109.5,266485
HNB.N0000,2021-02-11,104.0,109.5,96.0,104.0,213722
HNB.N0000,2021-02-12,110.0,110.0,106.5,110.0,327103
HNB.N0000,2021-02-15,108.0,112.0,107.5,108.0,160728
HNB.N0000,2021-02-16,104.25,110.0,103.5,104.25,110949
HNB.N0000,2021-02-17,103.0,105.0,100.0,103.0,157663
HNB.N0000,2021-02-18,105.0,106.0,103.5,105.0,116933
HNB.N0000,2021-02-19,105.0,106.0,104.0,105.0,79637
HNB.N0000,2021-02-22,107.25,110.0,107.0,107.25,219385
