symbol,date,open,high,low,close,volume
JKH.N0000,2021-01-04,149.6,151.0,149.5,149.6,1208543
JKH.N0000,2021-01-05,150.0,151.0,149.8,150.0,1343124
JKH.N0000,2021-01-06,149.8,150.1,149.8,149.8,452832
JKH.N0000,2021-01-07,148.5,149.8,148.1,148.5,1800245
JKH.N0000,2021-01-08,149.0,150.0,148.25,149.0,558315
JKH.N0000,2021-01-11,154.75,155.0,149.0,154.75,334081
JKH.N0000,2021-01-12,150.5,155.0,150.0,150.5,843960
JKH.N0000,2021-01-13,153.5,154.5,150.25,153.5,317749
JKH.N0000,2021-01-15,160.0,162.0,153.75,160.0,2705678
JKH.N0000,2021-01-18,161.25,165.5,161.0,161.25,1100095
JKH.N0000,2021-01-19,160.25,163.75,157.5,160.25,3762367
JKH.N0000,2021-01-20,157.0,160.0,154.5,157.0,7931032
JKH.N0000,2021-01-21,162.0,162.0,157.0,162.0,4049530
JKH.N0000,2021-01-22,168.25,177.0,165.0,168.25,4296122
JKH.N0000,2021-01-25,181.25,187.0,171.0,181.25,6873287
JKH.N0000,2021-01-26,172.75,182.0,170.0,172.75,2829674
JKH.N0000,2021-01-27,171.25,175.0,169.75,171.25,7414773
JKH.N0000,2021-01-29,167.0,175.0,165.5,167.0,1686608
JKH.N0000,2021-02-01,168.5,171.75,164.0,168.5,1097796
JKH.N0000,2021-02-02,155.75,168.5,154.0,155.75,2452685
JKH.N0000,2021-02-03,159.0,166.75,156.0,159.0,1580838
JKH.N0000,2021-02-05,155.25,161.0,155.0,155.25,2126410
JKH.N0000,2021-02-08,154.75,160.0,154.0,154.75,737111
JKH.N0000,2021-02-09,154.0,158.75,152.0,154.0,2095193
JKH.N0000,2021-02-10,154.75,157.0,153.25,154.75,2275220
JKH.N0000,2021-02-11,152.0,155.0,148.0,152.0,2343691
JKH.N0000,2021-02-12,154.25,155.0,153.0,154.25,715949
JKH.N0000,2021-02-15,160.0,163.0,153.25,160.0,4788276
JKH.N0000,2021-02-16,156.75,160.0,155.0,156.75,1781839
JKH.N0000,2021-02-17,156.25,159.0,153.25,156.25,105568
JKH.N0000,2021-02-18,160.0,160.5,158.0,160.0,1382839
JKH.N0000,2021-02-19,160.0,160.5,158.0,160.0,1025793
JKH.N0000,2021-02-22,156.0,159.0,155.0,156.0,93449
JKH.N0000,2021-02-23,151.25,155.5,150.5,151.25,446928
JKH.N0000,2021-02-24,152.0,154.0,151.0,152.0,588512
JKH.N0000,2021-02-25,152.25,155.5,152.0,152.25,1344685
JKH.N0000,2021-03-01,153.5,155.0,152.25,153.5,4252282
JKH.N0000,2021-03-02,154.0,158.75,153.5,154.0,166945
JKH.N0000,2021-03-03,151.75,156.0,150.75,151.75,227653
JKH.N0000,2021-03-04,148.25,152.0,147.75,148.25,1662484
JKH.N0000,2021-03-05,148.75,150.5,146.25,148.75,975664
JKH.N0000,2021-03-08,150.0,152.0,149.25,150.0,1263990
JKH.N0000,2021-03-09,150.0,152.0,149.5,150.0,860101
