symbol,date,open,high,low,close,volume
KGAL.N0000,2021-01-04,90.3,91.0,88.4,90.3,13994
KGAL.N0000,2021-01-05,99.5,103.9,90.7,99.5,28790
KGAL.N0000,2021-01-06,100.0,102.0,95.0,100.0,43754
KGAL.N0000,2021-01-07,96.2,98.5,96.0,96.2,26133
KGAL.N0000,2021-01-08,96.1,100.0,95.0,96.1,3856
KGAL.N0000,2021-01-11,97.3,101.0,96.2,97.3,65696
KGAL.N0000,2021-01-12,97.5,99.8,96.5,97.5,20110
KGAL.N0000,2021-01-13,97.0,98.0,93.1,97.0,37905
KGAL.N0000,2021-01-15,108.0,111.0,99.0,108.0,110344
KGAL.N0000,2021-01-18,123.5,125.75,112.0,123.5,81762
KGAL.N0000,2021-01-19,118.75,126.0,117.25,118.75,38500
KGAL.N0000,2021-01-20,120.5,123.0,113.0,120.5,27981
KGAL.N0000,2021-01-21,141.25,150.0,115.0,141.25,51831
KGAL.N0000,2021-01-22,145.75,170.0,140.5,145.75,39667
KGAL.N0000,2021-01-25,168.0,170.0,146.0,168.0,57907
KGAL.N0000,2021-01-26,159.25,170.0,157.5,159.25,8838
KGAL.N0000,2021-01-27,146.25,159.25,141.25,146.25,43649
KGAL.N0000,2021-01-29,136.25,144.75,130.0,136.25,20815
KGAL.N0000,2021-02-01,132.0,144.0,130.0,132.0,21237
KGAL.N0000,2021-02-02,124.75,150.0,120.0,124.75,49452
KGAL.N0000,2021-02-03,124.75,132.0,118.0,124.75,52833
KGAL.N0000,2021-02-05,130.0,132.0,128.0,130.0,32366
KGAL.N0000,2021-02-08,129.75,136.75,129.0,129.75,26986
KGAL.N0000,2021-02-09,123.75,137.75,115.25,123.75,14677
KGAL.N0000,2021-02-10,113.75,128.75,110.0,113.75,23800
KGAL.N0000,2021-02-11,115.0,115.0,90.0,115.0,16337
KGAL.N0000,2021-02-12,120.25,131.0,120.0,120.25,43905
KGAL.N0000,2021-02-15,128.25,129.25,118.0,128.25,43181
KGAL.N0000,2021-02-16,126.5,129.0,120.75,126.5,4184
KGAL.N0000,2021-02-17,122.75,127.0,122.0,122.75,599
KGAL.N0000,2021-02-18,125.0,126.0,122.25,125.0,4146
KGAL.N0000,2021-02-19,125.0,126.0,123.25,125.0,4861
KGAL.N0000,2021-02-22,115.5,123.5,115.25,115.5,5238
KGAL.N0000,2021-02-23,106.0,116.0,106.0,106.0,4032
KGAL.N0000,2021-02-24,109.5,118.0,106.5,109.5,4040
KGAL.N0000,2021-02-25,114.25,114.25,107.0,114.25,2536
KGAL.N0000,2021-03-01,110.25,115.0,110.0,110.25,6254
KGAL.N0000,2021-03-02,106.0,110.0,104.5,106.0,6020
KGAL.N0000,2021-03-03,102.5,108.0,100.25,102.5,7831
KGAL.N0000,2021-03-04,98.1,106.0,96.0,98.1,17306
KGAL.N0000,2021-03-05,99.6,100.5,96.0,99.6,11661
KGAL.N0000,2021-03-08,102.75,103.0,97.0,102.75,24472
KGAL.N0000,2021-03-09,103.0,107.5,100.5,103.0,4963
KGAL.N0000,2021-03-10,100.25,103.5,100.0,100.25,11416
KGAL.N0000,2021-03-12,102.0,103.0,100.75,102.0,14934
KGAL.N0000,2021-03-15,100.25,102.5,100.0,100.25,8713
KGAL.N0000,2021-03-16,100.0,100.0,100.0,100.0,1897
KGAL.N0000,2021-03-17,100.0,100.0,100.0,100.0,250
KGAL.N0000,2021-03-18,97.0,99.9,97.0,97.0,1400
KGAL.N0000,2021-03-19,96.6,99.7,96.6,96.6,11722
KGAL.N0000,2021-03-22,96.5,99.8,96.5,96.5,13772
KGAL.N0000,2021-03-23,96.4,96.5,95.1,96.4,5585
KGAL.N0000,2021-03-24,96.5,96.5,95.0,96.5,41287
KGAL.N0000,2021-03-25,97.6,100.0,95.8,97.6,48890
