symbol,date,open,high,low,close,volume
LOLC.N0000,2021-01-04,139.1,141.0,136.0,139.1,459626
LOLC.N0000,2021-01-05,142.7,143.9,139.0,142.7,684377
LOLC.N0000,2021-01-06,146.7,147.5,140.0,146.7,799562
LOLC.N0000,2021-01-07,155.1,158.5,145.0,155.1,2986626
LOLC.N0000,2021-01-08,155.0,164.0,154.0,155.0,1202240
LOLC.N0000,2021-01-11,160.0,161.0,154.0,160.0,1050371
LOLC.N0000,2021-01-12,165.75,171.0,160.0,165.75,1397385
LOLC.N0000,2021-01-13,181.5,191.5,178.0,181.5,3681331
LOLC.N0000,2021-01-15,226.75,226.75,185.0,226.75,5636934
LOLC.N0000,2021-01-18,265.25,283.25,248.5,265.25,4955508
LOLC.N0000,2021-01-19,235.5,270.25,225.0,235.5,2305576
LOLC.N0000,2021-01-20,231.75,244.25,220.0,231.75,1499331
LOLC.N0000,2021-01-21,281.0,289.5,235.0,281.0,3012627
LOLC.N0000,2021-01-22,351.25,351.25,305.75,351.25,5410995
LOLC.N0000,2021-01-25,381.25,399.5,371.0,381.25,4260334
LOLC.N0000,2021-01-26,417.25,437.0,363.0,417.25,4560243
LOLC.N0000,2021-01-27,521.25,521.5,455.0,521.25,4999560
LOLC.N0000,2021-01-29,512.75,574.0,498.25,512.75,3984200
LOLC.N0000,2021-02-01,503.75,545.0,485.0,503.75,2699110
LOLC.N0000,2021-02-02,466.5,525.0,392.5,466.5,1815660
LOLC.N0000,2021-02-03,485.75,510.0,460.0,485.75,1837371
LOLC.N0000,2021-02-05,469.75,495.0,465.0,469.75,681854
LOLC.N0000,2021-02-08,440.25,480.0,430.0,440.25,666508
LOLC.N0000,2021-02-09,422.75,440.0,404.0,422.75,1166384
LOLC.N0000,2021-02-10,407.75,437.75,402.0,407.75,756690
LOLC.N0000,2021-02-11,397.5,424.75,325.0,397.5,1051038
LOLC.N0000,2021-02-12,430.75,445.0,390.0,430.75,1168714
