symbol,date,open,high,low,close,volume
MADU.N0000,2021-01-04,9.9,10.1,9.8,9.9,9460
MADU.N0000,2021-01-05,9.8,10.0,9.8,9.8,20149
MADU.N0000,2021-01-06,9.9,10.0,9.8,9.9,30073
MADU.N0000,2021-01-07,9.8,10.0,9.8,9.8,12485
MADU.N0000,2021-01-08,9.9,10.0,9.0,9.9,667
MADU.N0000,2021-01-11,9.9,10.0,9.8,9.9,10728
MADU.N0000,2021-01-12,9.8,9.9,9.8,9.8,9380
MADU.N0000,2021-01-13,9.7,9.8,9.0,9.7,8574
MADU.N0000,2021-01-15,9.5,10.0,9.4,9.5,40738
MADU.N0000,2021-01-18,9.8,10.0,9.4,9.8,23758
MADU.N0000,2021-01-19,9.8,10.0,9.1,9.8,7121
MADU.N0000,2021-01-20,9.2,9.8,9.1,9.2,8400
MADU.N0000,2021-01-21,9.6,9.9,9.3,9.6,4621
MADU.N0000,2021-01-22,9.7,9.8,9.7,9.7,4254
MADU.N0000,2021-01-25,10.2,10.8,9.4,10.2,57004
MADU.N0000,2021-01-26,10.0,10.5,9.9,10.0,10800
MADU.N0000,2021-01-27,10.0,10.0,9.6,10.0,27189
MADU.N0000,2021-01-29,9.6,10.0,9.1,9.6,43521
MADU.N0000,2021-02-01,9.3,9.9,9.1,9.3,7735
MADU.N0000,2021-02-02,9.0,9.4,8.8,9.0,9727
MADU.N0000,2021-02-03,9.0,9.7,8.9,9.0,3271
MADU.N0000,2021-02-05,9.7,10.0,9.0,9.7,7982
MADU.N0000,2021-02-08,9.3,9.7,9.2,9.3,13012
MADU.N0000,2021-02-09,9.2,9.7,9.1,9.2,14165
MADU.N0000,2021-02-10,8.8,9.9,8.5,8.8,9236
MADU.N0000,2021-02-11,9.3,9.5,8.0,9.3,8242
MADU.N0000,2021-02-12,9.1,9.8,8.9,9.1,8173
MADU.N0000,2021-02-15,9.5,9.8,8.4,9.5,3310
MADU.N0000,2021-02-16,9.3,9.8,8.6,9.3,15700
MADU.N0000,2021-02-17,8.5,9.2,8.3,8.5,16986
MADU.N0000,2021-02-18,8.9,9.4,8.7,8.9,2030
MADU.N0000,2021-02-19,9.0,9.0,9.0,9.0,700
MADU.N0000,2021-02-22,9.1,9.5,8.7,9.1,1935
MADU.N0000,2021-02-23,8.6,8.6,8.6,8.6,3096
MADU.N0000,2021-02-24,8.8,8.9,8.2,8.8,2000
MADU.N0000,2021-02-25,8.2,8.6,8.2,8.2,15518
MADU.N0000,2021-03-01,8.3,8.7,8.3,8.3,749
MADU.N0000,2021-03-02,8.8,9.3,7.9,8.8,15744
MADU.N0000,2021-03-03,8.0,8.7,7.9,8.0,11555
MADU.N0000,2021-03-04,8.0,8.8,8.0,8.0,14522
MADU.N0000,2021-03-05,8.5,8.5,8.0,8.5,900
MADU.N0000,2021-03-08,8.5,8.5,8.3,8.5,1848
MADU.N0000,2021-03-09,8.8,8.8,8.5,8.8,1511
MADU.N0000,2021-03-10,8.4,8.9,8.3,8.4,2699
MADU.N0000,2021-03-12,9.0,9.0,9.0,9.0,110
MADU.N0000,2021-03-15,8.6,8.7,8.5,8.6,300
MADU.N0000,2021-03-16,8.3,8.3,8.2,8.3,700
MADU.N0000,2021-03-17,8.3,8.6,8.2,8.3,2
