symbol,date,open,high,low,close,volume
NDB.N0000,2021-01-04,78.8,79.0,78.1,78.8,394329
NDB.N0000,2021-01-05,79.3,80.0,79.0,79.3,193220
NDB.N0000,2021-01-06,79.1,79.9,78.7,79.1,69683
NDB.N0000,2021-01-07,78.3,79.9,77.0,78.3,175266
NDB.N0000,2021-01-08,78.3,79.0,77.6,78.3,101111
NDB.N0000,2021-01-11,78.6,79.8,78.0,78.6,180664
NDB.N0000,2021-01-12,78.1,79.7,77.7,78.1,1662538
NDB.N0000,2021-01-13,78.0,78.5,77.7,78.0,356162
NDB.N0000,2021-01-15,81.1,82.0,78.0,81.1,331602
NDB.N0000,2021-01-18,85.7,90.0,83.0,85.7,665456
NDB.N0000,2021-01-19,89.3,90.0,84.0,89.3,979680
NDB.N0000,2021-01-20,93.7,95.0,88.0,93.7,991832
NDB.N0000,2021-01-21,95.3,98.0,92.0,95.3,787940
NDB.N0000,2021-01-22,98.3,99.0,95.5,98.3,546407
NDB.N0000,2021-01-25,102.25,103.5,98.0,102.25,649482
NDB.N0000,2021-01-26,102.25,105.0,101.0,102.25,386309
NDB.N0000,2021-01-27,99.4,102.0,98.9,99.4,579918
NDB.N0000,2021-01-29,97.4,105.75,96.0,97.4,319922
NDB.N0000,2021-02-01,96.0,100.0,89.0,96.0,1187148
NDB.N0000,2021-02-02,90.1,96.0,89.6,90.1,1403831
NDB.N0000,2021-02-03,92.6,93.9,90.0,92.6,413170
NDB.N0000,2021-02-05,90.0,93.0,89.6,90.0,290059
NDB.N0000,2021-02-08,89.6,92.4,89.5,89.6,231584
NDB.N0000,2021-02-09,91.6,92.0,89.0,91.6,510900
NDB.N0000,2021-02-10,86.4,91.0,85.0,86.4,66124
NDB.N0000,2021-02-11,87.1,88.9,81.0,87.1,114472
NDB.N0000,2021-02-12,90.8,97.0,89.3,90.8,162198
NDB.N0000,2021-02-15,89.5,94.9,89.0,89.5,539807
NDB.N0000,2021-02-16,88.8,90.0,87.0,88.8,265110
NDB.N0000,2021-02-17,88.6,91.9,87.5,88.6,27863
NDB.N0000,2021-02-18,89.0,90.0,86.5,89.0,217281
NDB.N0000,2021-02-19,89.0,91.9,88.9,89.0,81792
NDB.N0000,2021-02-22,86.8,89.2,86.5,86.8,31539
NDB.N0000,2021-02-23,83.6,89.9,83.1,83.6,56527
NDB.N0000,2021-02-24,82.2,85.0,81.9,82.2,96344
NDB.N0000,2021-02-25,82.9,86.0,82.0,82.9,191901
NDB.N0000,2021-03-01,83.0,84.0,82.0,83.0,700831
NDB.N0000,2021-03-02,81.9,83.0,81.5,81.9,21875
NDB.N0000,2021-03-03,80.1,81.7,80.0,80.1,112393
NDB.N0000,2021-03-04,79.2,80.0,79.0,79.2,89692
NDB.N0000,2021-03-05,79.0,79.6,78.8,79.0,36630
NDB.N0000,2021-03-08,83.8,84.9,80.0,83.8,86431
NDB.N0000,2021-03-09,83.7,88.0,82.0,83.7,84602
NDB.N0000,2021-03-10,82.3,84.0,82.0,82.3,5856
NDB.N0000,2021-03-12,82.2,85.0,82.0,82.2,27465
NDB.N0000,2021-03-15,81.2,82.7,81.1,81.2,9589
NDB.N0000,2021-03-16,81.8,82.0,81.0,81.8,14495
NDB.N0000,2021-03-17,80.0,81.9,80.0,80.0,39604
NDB.N0000,2021-03-18,80.0,80.0,79.0,80.0,28343
NDB.N0000,2021-03-19,80.0,80.0,79.2,80.0,30060
NDB.N0000,2021-03-22,80.2,80.5,79.6,80.2,23943
NDB.N0000,2021-03-23,80.0,81.5,79.6,80.0,18772
NDB.N0000,2021-03-24,80.4,81.0,80.0,80.4,19615
NDB.N0000,2021-03-25,80.9,81.5,80.0,80.9,15935
NDB.N0000,2021-03-26,81.0,81.0,80.0,81.0,13276
NDB.N0000,2021-03-29,80.5,81.5,79.9,80.5,9016
NDB.N0000,2021-03-30,80.1,81.0,79.5,80.1,77270
NDB.N0000,2021-03-31,80.8,80.9,80.0,80.8,2653
NDB.N0000,2022-01-03,68.6,70.0,68.5,69.1,96713
NDB.N0000,2022-01-04,69.9,70.2,68.6,69.5,7782041
NDB.N0000,2022-01-05,71.2,71.4,69.6,69.9,227907
NDB.N0000,2022-01-06,70.0,70.0,69.0,69.5,189042
NDB.N0000,2022-01-07,70.0,71.5,69.0,70.2,694836
NDB.N0000,2022-01-10,71.3,73.0,70.0,72.4,656703
NDB.N0000,2022-01-11,73.1,73.1,71.7,72.0,432344
NDB.N0000,2022-01-12,72.0,72.5,70.3,71.4,63280
NDB.N0000,2022-01-13,71.8,71.8,70.0,70.1,49980
NDB.N0000,2022-01-18,70.1,71.0,69.9,70.8,86970
NDB.N0000,2022-01-19,70.8,71.5,70.4,70.9,80334
NDB.N0000,2022-01-20,71.8,72.0,70.5,71.1,37900
NDB.N0000,2022-01-21,71.9,72.0,71.0,72.0,101701
NDB.N0000,2022-01-24,72.3,72.5,71.8,72.2,56511
NDB.N0000,2022-01-25,72.5,72.5,72.0,72.0,25638
NDB.N0000,2022-01-26,72.0,72.0,71.1,71.2,37660
NDB.N0000,2022-01-27,71.3,71.6,70.3,70.8,18789
NDB.N0000,2022-01-28,71.6,71.6,70.2,70.8,25575
NDB.N0000,2022-01-31,71.0,72.0,71.0,71.0,25202
NDB.N0000,2022-02-01,71.0,72.0,70.9,71.0,22709
NDB.N0000,2022-02-02,71.0,71.0,70.0,70.2,46318
NDB.N0000,2022-02-03,70.0,71.4,69.8,69.9,22521
NDB.N0000,2022-02-07,70.0,70.5,69.7,69.9,56788
NDB.N0000,2022-02-08,70.0,70.0,69.0,69.3,60613
NDB.N0000,2022-02-09,69.3,69.8,68.5,68.6,62732
NDB.N0000,2022-02-10,68.7,69.0,67.5,67.9,149675
NDB.N0000,2022-02-11,68.9,69.3,68.1,68.6,80754
NDB.N0000,2022-02-14,69.4,71.5,69.0,70.5,38121
NDB.N0000,2022-02-15,71.8,71.8,68.7,69.7,7607
NDB.N0000,2022-02-17,70.2,72.5,70.2,72.0,120214
NDB.N0000,2022-02-18,72.5,72.5,70.0,70.5,49438
NDB.N0000,2022-02-21,72.5,72.5,69.0,69.9,26377
NDB.N0000,2022-02-22,69.2,69.8,68.7,68.9,83222
