symbol,date,open,high,low,close,volume
OSEA.N0000,2021-01-04,14.3,14.5,14.3,14.3,579663
OSEA.N0000,2021-01-05,14.2,14.3,14.1,14.2,1106918
OSEA.N0000,2021-01-06,14.1,14.3,14.0,14.1,365149
OSEA.N0000,2021-01-07,14.1,14.2,14.0,14.1,537424
OSEA.N0000,2021-01-08,14.0,14.3,13.9,14.0,222547
OSEA.N0000,2021-01-11,14.0,14.3,13.9,14.0,268705
OSEA.N0000,2021-01-12,14.0,14.3,13.8,14.0,357450
OSEA.N0000,2021-01-13,14.0,14.3,13.8,14.0,470810
OSEA.N0000,2021-01-15,14.1,14.2,13.9,14.1,1270441
OSEA.N0000,2021-01-18,15.1,15.6,14.2,15.1,2538049
OSEA.N0000,2021-01-19,15.0,16.0,14.8,15.0,3324844
OSEA.N0000,2021-01-20,15.0,15.4,14.9,15.0,1171348
OSEA.N0000,2021-01-21,15.0,15.3,14.8,15.0,3992280
OSEA.N0000,2021-01-22,15.5,16.0,15.0,15.5,2721957
OSEA.N0000,2021-01-25,15.3,15.7,15.2,15.3,2022876
OSEA.N0000,2021-01-26,15.7,16.3,15.4,15.7,3126442
OSEA.N0000,2021-01-27,17.6,18.8,15.9,17.6,5008997
OSEA.N0000,2021-01-29,18.9,21.1,18.2,18.9,5429957
OSEA.N0000,2021-02-01,17.5,19.5,16.9,17.5,1248371
OSEA.N0000,2021-02-02,16.2,17.9,15.6,16.2,1925153
OSEA.N0000,2021-02-03,16.4,17.0,15.5,16.4,1462189
OSEA.N0000,2021-02-05,16.4,17.0,16.3,16.4,369459
OSEA.N0000,2021-02-08,16.2,16.7,16.1,16.2,218538
OSEA.N0000,2021-02-09,15.9,16.5,15.8,15.9,426891
OSEA.N0000,2021-02-10,15.7,16.2,15.4,15.7,1064904
OSEA.N0000,2021-02-11,15.6,16.0,15.0,15.6,719908
OSEA.N0000,2021-02-12,16.5,16.8,15.7,16.5,208489
OSEA.N0000,2021-02-15,15.9,16.6,15.7,15.9,217909
OSEA.N0000,2021-02-16,15.8,16.0,15.5,15.8,184844
OSEA.N0000,2021-02-17,16.0,16.1,15.2,16.0,291523
OSEA.N0000,2021-02-18,16.0,16.1,15.7,16.0,221441
OSEA.N0000,2021-02-19,16.0,16.3,15.7,16.0,256735
OSEA.N0000,2021-02-22,15.8,16.3,15.7,15.8,167244
OSEA.N0000,2021-02-23,15.5,15.9,15.3,15.5,585440
OSEA.N0000,2021-02-24,15.6,15.8,15.5,15.6,364103
