symbol,date,open,high,low,close,volume
RICH.N0000,2021-01-04,14.8,15.0,14.7,14.8,615840
RICH.N0000,2021-01-05,15.0,15.1,14.7,15.0,620836
RICH.N0000,2021-01-06,15.1,15.2,14.9,15.1,1212562
RICH.N0000,2021-01-07,15.0,15.2,14.8,15.0,963927
RICH.N0000,2021-01-08,15.0,15.0,14.6,15.0,972708
RICH.N0000,2021-01-11,14.7,15.0,14.7,14.7,787932
RICH.N0000,2021-01-12,14.9,15.0,14.5,14.9,843628
RICH.N0000,2021-01-13,15.0,15.1,14.8,15.0,1058765
RICH.N0000,2021-01-15,15.5,16.1,14.9,15.5,4303334
RICH.N0000,2021-01-18,15.9,16.1,15.3,15.9,2729170
RICH.N0000,2021-01-19,15.7,16.1,15.5,15.7,1898647
RICH.N0000,2021-01-20,15.4,15.7,15.3,15.4,551882
RICH.N0000,2021-01-21,15.4,15.5,15.0,15.4,831806
RICH.N0000,2021-01-22,16.1,16.2,15.0,16.1,3852452
RICH.N0000,2021-01-25,16.6,16.9,16.1,16.6,2473749
RICH.N0000,2021-01-26,17.0,17.2,16.5,17.0,3739955
RICH.N0000,2021-01-27,17.0,17.3,17.0,17.0,2221607
RICH.N0000,2021-01-29,16.2,17.1,16.0,16.2,729742
RICH.N0000,2021-02-01,16.0,16.5,15.9,16.0,643305
RICH.N0000,2021-02-02,14.9,16.0,14.7,14.9,1056100
RICH.N0000,2021-02-03,15.9,15.9,15.0,15.9,464714
RICH.N0000,2021-02-05,15.4,15.9,15.3,15.4,118562
RICH.N0000,2021-02-08,15.0,15.5,14.9,15.0,687009
RICH.N0000,2021-02-09,14.9,15.0,14.5,14.9,244133
RICH.N0000,2021-02-10,14.6,15.0,14.5,14.6,990929
RICH.N0000,2021-02-11,14.4,14.9,13.5,14.4,891863
RICH.N0000,2021-02-12,15.5,15.6,15.0,15.5,1152374
RICH.N0000,2021-02-15,15.9,16.2,15.3,15.9,5686613
RICH.N0000,2021-02-16,16.0,16.2,15.6,16.0,2617670
RICH.N0000,2021-02-17,17.0,17.5,15.8,17.0,5547061
RICH.N0000,2021-02-18,18.0,18.4,17.3,18.0,11858686
RICH.N0000,2021-02-19,17.8,18.7,17.7,17.8,4223346
RICH.N0000,2021-02-22,17.0,18.0,16.5,17.0,713616
RICH.N0000,2021-02-23,16.0,16.8,15.9,16.0,396625
RICH.N0000,2021-02-24,16.5,17.0,16.0,16.5,1094150
RICH.N0000,2021-02-25,16.3,17.0,16.0,16.3,582491
RICH.N0000,2021-03-01,16.0,16.9,16.0,16.0,807564
RICH.N0000,2021-03-02,16.6,16.7,15.9,16.6,1109853
RICH.N0000,2021-03-03,16.0,16.6,15.7,16.0,434737
RICH.N0000,2021-03-04,15.8,16.4,15.7,15.8,1112056
RICH.N0000,2021-03-05,16.5,16.7,15.7,16.5,1506645
RICH.N0000,2021-03-08,16.7,16.9,16.3,16.7,517136
RICH.N0000,2021-03-09,16.5,17.3,16.5,16.5,3626078
RICH.N0000,2021-03-10,16.2,16.5,16.1,16.2,66745
RICH.N0000,2021-03-12,16.4,16.8,16.3,16.4,21699
RICH.N0000,2021-03-15,16.3,16.4,16.3,16.3,1156106
RICH.N0000,2021-03-16,15.9,16.3,15.5,15.9,172177
RICH.N0000,2021-03-17,15.5,16.0,15.5,15.5,238951
RICH.N0000,2021-03-18,15.6,15.8,15.5,15.6,524925
RICH.N0000,2021-03-19,15.7,16.0,15.4,15.7,397482
RICH.N0000,2021-03-22,15.8,15.9,15.6,15.8,84890
RICH.N0000,2021-03-23,16.2,16.2,15.6,16.2,897443
RICH.N0000,2021-03-24,16.4,16.5,16.0,16.4,185770
RICH.N0000,2021-03-25,16.7,17.0,16.4,16.7,1460341
RICH.N0000,2021-03-26,16.5,17.0,16.5,16.5,185147
RICH.N0000,2021-03-29,16.7,17.0,16.3,16.7,142120
RICH.N0000,2021-03-30,16.8,17.0,16.6,16.8,731854
RICH.N0000,2021-03-31,16.8,16.9,16.5,16.8,3311779
RICH.N0000,2022-01-03,24.8,26.1,24.8,25.5,3429611
RICH.N0000,2022-01-04,25.8,28.0,25.5,27.2,3852427
RICH.N0000,2022-01-05,27.9,28.0,26.3,26.7,1423709
RICH.N0000,2022-01-06,27.2,27.4,26.0,26.5,888303
RICH.N0000,2022-01-07,26.8,27.3,26.4,26.8,2192652
RICH.N0000,2022-01-10,26.6,27.1,25.0,25.4,783163
RICH.N0000,2022-01-11,24.9,26.0,24.5,25.8,1037866
RICH.N0000,2022-01-12,26.0,29.5,26.0,27.4,7037417
RICH.N0000,2022-01-13,27.8,27.8,25.7,26.3,1982728
RICH.N0000,2022-01-18,26.0,27.0,25.9,26.0,941340
RICH.N0000,2022-01-19,26.2,26.4,25.5,25.7,532513
RICH.N0000,2022-01-20,25.5,25.8,25.3,25.3,436659
RICH.N0000,2022-01-21,25.2,25.8,25.0,25.4,160259
RICH.N0000,2022-01-24,25.9,25.9,24.8,25.1,619980
RICH.N0000,2022-01-25,25.2,25.6,24.5,24.9,1167197
RICH.N0000,2022-01-26,24.5,24.8,24.0,24.3,446192
RICH.N0000,2022-01-27,24.2,25.4,23.8,24.0,476884
RICH.N0000,2022-01-28,24.0,24.5,23.0,24.2,329602
RICH.N0000,2022-01-31,24.5,25.4,24.5,24.8,474843
RICH.N0000,2022-02-01,25.0,25.1,24.0,24.2,444133
RICH.N0000,2022-02-02,24.0,24.5,22.9,23.2,225344
RICH.N0000,2022-02-03,23.0,24.0,22.1,23.6,168791
RICH.N0000,2022-02-07,23.9,23.9,22.8,22.9,120957
RICH.N0000,2022-02-08,22.7,22.7,21.0,21.1,418177
RICH.N0000,2022-02-09,22.0,22.0,20.0,20.6,306174
RICH.N0000,2022-02-10,21.8,21.8,20.1,21.2,158736
RICH.N0000,2022-02-11,21.5,22.9,21.5,22.0,216340
RICH.N0000,2022-02-14,22.0,22.0,21.3,21.5,182621
RICH.N0000,2022-02-15,22.5,23.5,21.0,21.4,1091681
RICH.N0000,2022-02-17,22.0,22.0,20.0,20.9,1672979
RICH.N0000,2022-02-18,21.2,21.4,19.5,19.9,831776
RICH.N0000,2022-02-21,20.0,20.5,18.5,18.9,422906
RICH.N0000,2022-02-22,19.1,20.0,18.7,18.9,1252843
RICH.N0000,2022-02-23,19.0,19.4,18.3,18.9,379502
RICH.N0000,2022-02-24,18.9,19.9,17.5,17.7,198862
RICH.N0000,2022-02-25,17.9,20.1,17.5,19.1,380503
RICH.N0000,2022-02-28,20.0,20.0,18.7,19.7,691049
RICH.N0000,2022-03-02,19.9,20.4,18.0,19.4,316890
RICH.N0000,2022-03-03,19.5,19.5,19.2,19.2,118963
RICH.N0000,2022-03-04,19.5,19.5,19.0,19.2,99631
RICH.N0000,2022-03-07,19.4,19.8,18.1,18.4,71125
RICH.N0000,2022-03-08,18.9,19.0,15.4,16.0,760744
RICH.N0000,2022-03-09,16.6,16.6,15.4,15.6,284245
RICH.N0000,2022-03-10,16.2,17.0,15.7,17.0,473918
RICH.N0000,2022-03-11,17.5,17.5,16.2,17.3,175796
RICH.N0000,2022-03-14,17.0,17.0,16.5,16.5,125530
RICH.N0000,2022-03-15,16.5,16.5,16.0,16.0,140526
RICH.N0000,2022-03-16,16.2,16.2,15.5,15.6,171796
RICH.N0000,2022-03-18,16.0,16.7,15.5,15.7,595993
RICH.N0000,2022-03-21,15.6,16.4,15.6,16.0,135281
RICH.N0000,2022-03-22,16.0,16.7,15.9,16.0,787888
RICH.N0000,2022-03-23,16.0,16.6,15.8,15.9,154254
RICH.N0000,2022-03-24,16.0,16.5,15.8,16.0,43031
RICH.N0000,2022-03-25,15.9,16.4,15.5,15.8,247364
RICH.N0000,2022-03-28,16.0,16.3,15.4,15.7,211678
RICH.N0000,2022-03-29,15.5,15.5,14.0,14.2,261428
RICH.N0000,2022-03-30,14.5,14.9,13.4,14.2,103711
RICH.N0000,2022-03-31,14.4,14.6,13.0,13.3,89166
RICH.N0000,2023-01-02,24.4,24.8,23.4,23.6,289843
RICH.N0000,2023-01-03,23.5,24.8,23.1,23.8,320927
RICH.N0000,2023-01-04,24.5,24.6,23.5,23.5,210720
RICH.N0000,2023-01-05,24.0,24.0,23.4,23.6,77669
RICH.N0000,2023-01-09,23.4,23.8,22.8,23.0,130657
RICH.N0000,2023-01-10,22.8,23.9,22.8,23.0,807747
RICH.N0000,2023-01-11,23.0,23.9,22.6,23.0,101456
RICH.N0000,2023-01-12,23.9,23.9,22.5,22.5,436435
RICH.N0000,2023-01-13,23.2,23.2,21.8,22.1,452397
RICH.N0000,2023-01-17,22.5,22.9,21.7,21.9,48625
RICH.N0000,2023-01-18,22.9,22.9,22.0,22.5,19829
RICH.N0000,2023-01-19,22.8,22.8,21.8,22.0,108501
RICH.N0000,2023-01-20,22.9,25.0,22.9,24.1,616756
RICH.N0000,2023-01-23,24.0,24.9,23.9,24.5,210212
RICH.N0000,2023-01-24,24.8,24.8,23.5,23.6,97527
RICH.N0000,2023-01-25,24.3,24.5,23.4,23.8,41529
RICH.N0000,2023-01-26,23.6,24.0,23.0,23.8,143143
RICH.N0000,2023-01-27,23.6,23.8,23.0,23.1,153580
RICH.N0000,2023-01-30,23.1,23.5,22.7,22.9,60498
RICH.N0000,2023-01-31,23.5,23.5,22.4,22.5,99783
RICH.N0000,2023-02-01,23.0,23.5,22.2,22.7,26135
RICH.N0000,2023-02-02,23.0,23.5,22.0,22.3,648698
RICH.N0000,2023-02-03,23.0,23.4,22.8,23.0,104276
RICH.N0000,2023-02-06,23.4,23.4,22.9,23.0,63876
RICH.N0000,2023-02-07,23.0,23.0,22.5,22.5,232470
RICH.N0000,2023-02-08,23.0,23.0,22.5,22.8,87214
RICH.N0000,2023-02-09,23.0,23.4,22.7,22.7,60401
