symbol,date,open,high,low,close,volume
SAMP.N0000,2021-01-04,140.8,141.1,136.0,140.8,428414
SAMP.N0000,2021-01-05,142.5,143.4,141.0,142.5,846367
SAMP.N0000,2021-01-06,141.7,142.9,137.1,141.7,244381
SAMP.N0000,2021-01-07,141.3,141.7,139.0,141.3,270983
SAMP.N0000,2021-01-08,142.0,142.5,141.0,142.0,369160
SAMP.N0000,2021-01-11,141.0,142.5,141.0,141.0,291868
SAMP.N0000,2021-01-12,140.0,141.0,139.5,140.0,232347
SAMP.N0000,2021-01-13,138.25,140.0,137.5,138.25,259141
SAMP.N0000,2021-01-15,141.25,143.0,138.0,141.25,494739
SAMP.N0000,2021-01-18,146.75,150.0,143.0,146.75,1317650
SAMP.N0000,2021-01-19,162.0,166.5,148.0,162.0,1724527
SAMP.N0000,2021-01-20,166.75,170.0,157.25,166.75,1449326
SAMP.N0000,2021-01-21,165.5,169.5,162.25,165.5,3632132
SAMP.N0000,2021-01-22,163.25,167.5,161.75,163.25,1216227
SAMP.N0000,2021-01-25,171.5,174.0,164.25,171.5,1385214
SAMP.N0000,2021-01-26,170.25,175.0,169.0,170.25,1249126
SAMP.N0000,2021-01-27,166.75,170.0,165.25,166.75,667894
SAMP.N0000,2021-01-29,201.5,250.0,197.75,201.5,14479834
SAMP.N0000,2021-02-01,195.25,210.0,193.25,195.25,2948613
SAMP.N0000,2021-02-02,180.5,197.0,175.5,180.5,2394310
SAMP.N0000,2021-02-03,179.75,190.0,175.0,179.75,1907802
SAMP.N0000,2021-02-05,176.25,183.0,175.25,176.25,3198324
SAMP.N0000,2021-02-08,169.25,180.0,168.75,169.25,1728418
SAMP.N0000,2021-02-09,167.5,170.0,160.5,167.5,802338
SAMP.N0000,2021-02-10,163.75,169.0,163.0,163.75,836304
SAMP.N0000,2021-02-11,165.0,166.75,145.5,165.0,1267746
SAMP.N0000,2021-02-12,174.25,175.0,166.0,174.25,1246369
SAMP.N0000,2021-02-15,167.75,180.0,166.75,167.75,1112594
SAMP.N0000,2021-02-16,165.0,174.75,163.75,165.0,1736330
SAMP.N0000,2021-02-17,160.0,164.75,155.25,160.0,1214466
SAMP.N0000,2021-02-18,160.0,164.0,158.0,160.0,1052014
SAMP.N0000,2021-02-19,159.5,160.0,157.5,159.5,2172373
SAMP.N0000,2021-02-22,158.25,162.0,158.0,158.25,230109
SAMP.N0000,2021-02-23,154.5,159.75,154.0,154.5,921045
SAMP.N0000,2021-02-24,154.0,156.0,153.0,154.0,2256553
SAMP.N0000,2021-02-25,155.75,158.0,154.0,155.75,5127803
SAMP.N0000,2021-03-01,156.5,159.0,156.0,156.5,232565
SAMP.N0000,2021-03-02,154.5,157.0,154.0,154.5,4020982
SAMP.N0000,2021-03-03,151.0,157.5,150.25,151.0,343442
SAMP.N0000,2021-03-04,150.5,154.0,150.25,150.5,211773
SAMP.N0000,2021-03-05,150.25,152.75,149.25,150.25,1033575
SAMP.N0000,2021-03-08,153.25,154.0,151.0,153.25,321280
SAMP.N0000,2021-03-09,155.25,159.0,154.0,155.25,254402
SAMP.N0000,2021-03-10,153.0,157.0,152.5,153.0,142239
