symbol,date,open,high,low,close,volume
SEYB.N0000,2021-01-04,34.0,34.4,33.7,34.0,175031
SEYB.N0000,2021-01-05,34.9,36.0,34.0,34.9,914725
SEYB.N0000,2021-01-06,34.5,35.0,34.2,34.5,103043
SEYB.N0000,2021-01-07,35.0,35.4,33.8,35.0,909922
SEYB.N0000,2021-01-08,34.0,35.0,34.0,34.0,42344
SEYB.N0000,2021-01-11,34.6,34.7,34.0,34.6,731060
SEYB.N0000,2021-01-12,34.1,34.6,33.5,34.1,160921
SEYB.N0000,2021-01-13,35.2,35.4,34.0,35.2,418663
SEYB.N0000,2021-01-15,39.1,43.0,35.4,39.1,1236427
SEYB.N0000,2021-01-18,44.3,47.5,42.3,44.3,1278537
SEYB.N0000,2021-01-19,47.0,50.0,44.3,47.0,3634357
SEYB.N0000,2021-01-20,55.8,57.0,47.2,55.8,12597845
SEYB.N0000,2021-01-21,57.5,60.0,50.6,57.5,7086865
SEYB.N0000,2021-01-22,54.0,58.0,53.0,54.0,3142444
SEYB.N0000,2021-01-25,54.3,56.5,53.5,54.3,2005384
SEYB.N0000,2021-01-26,54.3,56.5,53.7,54.3,1460135
SEYB.N0000,2021-01-27,51.1,54.3,50.9,51.1,879006
SEYB.N0000,2021-01-29,48.8,54.5,47.0,48.8,674471
SEYB.N0000,2021-02-01,47.1,48.8,45.8,47.1,498297
SEYB.N0000,2021-02-02,46.0,50.0,45.1,46.0,1024104
SEYB.N0000,2021-02-03,49.5,50.5,46.5,49.5,3398039
SEYB.N0000,2021-02-05,50.0,52.0,49.0,50.0,774927
SEYB.N0000,2021-02-08,48.0,50.5,48.0,48.0,1658613
SEYB.N0000,2021-02-09,48.0,48.5,46.0,48.0,677064
SEYB.N0000,2021-02-10,49.5,50.0,46.2,49.5,3237837
SEYB.N0000,2021-02-11,45.3,48.0,41.0,45.3,232229
SEYB.N0000,2021-02-12,47.6,49.1,47.0,47.6,652748
SEYB.N0000,2021-02-15,45.7,48.5,45.0,45.7,257048
SEYB.N0000,2021-02-16,41.6,46.0,40.5,41.6,316525
SEYB.N0000,2021-02-17,40.9,43.8,39.0,40.9,1906128
SEYB.N0000,2021-02-18,41.6,41.8,40.0,41.6,261999
SEYB.N0000,2021-02-19,40.6,41.7,40.3,40.6,117449
SEYB.N0000,2021-02-22,40.9,41.8,40.2,40.9,45032
SEYB.N0000,2021-02-23,40.0,41.5,39.6,40.0,215623
SEYB.N0000,2021-02-24,39.9,41.5,38.0,39.9,96809
SEYB.N0000,2021-02-25,40.8,41.6,40.0,40.8,99671
SEYB.N0000,2021-03-01,42.0,42.5,41.3,42.0,499155
SEYB.N0000,2021-03-02,42.5,43.0,41.5,42.5,1105758
SEYB.N0000,2021-03-03,41.9,42.3,41.5,41.9,987398
SEYB.N0000,2021-03-04,41.9,42.2,40.0,41.9,1482603
SEYB.N0000,2021-03-05,42.0,42.5,40.0,42.0,1117921
SEYB.N0000,2021-03-08,46.6,47.4,42.0,46.6,1731627
SEYB.N0000,2021-03-09,45.9,48.0,45.0,45.9,1103065
SEYB.N0000,2021-03-10,44.6,46.8,43.0,44.6,267992
SEYB.N0000,2021-03-12,45.9,46.7,44.5,45.9,156937
SEYB.N0000,2021-03-15,44.5,45.8,44.5,44.5,659725
SEYB.N0000,2021-03-16,44.4,45.9,42.0,44.4,250568
SEYB.N0000,2021-03-17,43.0,45.0,42.1,43.0,142514
SEYB.N0000,2021-03-18,42.1,43.0,42.0,42.1,819168
