symbol,date,open,high,low,close,volume
SLTL.N0000,2021-01-04,33.8,33.9,33.7,33.8,21769
SLTL.N0000,2021-01-05,33.9,34.3,33.8,33.9,69852
SLTL.N0000,2021-01-06,34.7,35.0,33.8,34.7,54855
SLTL.N0000,2021-01-07,36.9,37.5,35.1,36.9,128580
SLTL.N0000,2021-01-08,36.5,37.0,36.1,36.5,97197
SLTL.N0000,2021-01-11,37.7,37.9,36.0,37.7,43850
SLTL.N0000,2021-01-12,38.2,38.5,38.0,38.2,78558
SLTL.N0000,2021-01-13,38.5,38.8,38.2,38.5,88400
SLTL.N0000,2021-01-15,42.6,42.9,38.5,42.6,261754
SLTL.N0000,2021-01-18,41.2,42.9,38.4,41.2,70179
SLTL.N0000,2021-01-19,40.0,42.0,39.3,40.0,109455
SLTL.N0000,2021-01-20,40.5,41.0,39.0,40.5,31334
SLTL.N0000,2021-01-21,41.4,41.5,39.5,41.4,84740
SLTL.N0000,2021-01-22,40.0,41.8,39.8,40.0,52248
SLTL.N0000,2021-01-25,40.1,40.5,40.0,40.1,77581
SLTL.N0000,2021-01-26,39.7,40.0,39.2,39.7,39357
SLTL.N0000,2021-01-27,39.6,40.0,39.0,39.6,29932
SLTL.N0000,2021-01-29,39.0,40.0,38.4,39.0,57172
SLTL.N0000,2021-02-01,37.5,39.9,37.2,37.5,46758
SLTL.N0000,2021-02-02,35.9,38.5,35.4,35.9,11084
SLTL.N0000,2021-02-03,37.0,37.0,35.8,37.0,51778
SLTL.N0000,2021-02-05,37.8,38.8,36.9,37.8,17034
SLTL.N0000,2021-02-08,37.6,38.7,37.0,37.6,6834
SLTL.N0000,2021-02-09,36.9,37.5,36.7,36.9,20255
SLTL.N0000,2021-02-10,36.1,38.5,35.5,36.1,15309
SLTL.N0000,2021-02-11,35.5,38.3,34.8,35.5,22609
SLTL.N0000,2021-02-12,37.3,37.9,35.8,37.3,29442
SLTL.N0000,2021-02-15,36.9,37.7,35.8,36.9,13140
SLTL.N0000,2021-02-16,36.4,37.4,36.2,36.4,2314
SLTL.N0000,2021-02-17,36.6,37.0,35.0,36.6,19747
SLTL.N0000,2021-02-18,35.7,36.8,35.5,35.7,37285
SLTL.N0000,2021-02-19,36.2,37.4,35.8,36.2,2217
SLTL.N0000,2021-02-22,35.1,36.2,35.0,35.1,11150
SLTL.N0000,2021-02-23,34.8,36.0,34.7,34.8,19574
SLTL.N0000,2021-02-24,34.3,35.9,34.3,34.3,14040
SLTL.N0000,2021-02-25,34.8,34.8,34.5,34.8,1936
SLTL.N0000,2021-03-01,35.0,35.8,34.9,35.0,470
SLTL.N0000,2021-03-02,34.9,35.5,34.8,34.9,473
SLTL.N0000,2021-03-03,34.3,34.8,34.2,34.3,11885
SLTL.N0000,2021-03-04,33.9,35.0,33.8,33.9,8949
SLTL.N0000,2021-03-05,33.0,34.0,33.0,33.0,5638
SLTL.N0000,2021-03-08,33.8,35.0,33.0,33.8,30744
SLTL.N0000,2021-03-09,33.1,34.7,33.0,33.1,26173
SLTL.N0000,2021-03-10,32.9,33.8,32.0,32.9,3087
SLTL.N0000,2021-03-12,33.5,33.6,32.8,33.5,3290
SLTL.N0000,2021-03-15,32.8,34.5,32.1,32.8,46921
SLTL.N0000,2021-03-16,32.5,33.9,32.0,32.5,24230
SLTL.N0000,2021-03-17,32.6,33.0,32.0,32.6,17910
SLTL.N0000,2021-03-18,32.1,33.1,31.8,32.1,33286
SLTL.N0000,2021-03-19,32.0,33.0,31.5,32.0,22513
SLTL.N0000,2021-03-22,32.5,32.5,31.6,32.5,3210
SLTL.N0000,2021-03-23,32.2,32.5,32.0,32.2,8537
SLTL.N0000,2021-03-24,32.2,32.5,32.1,32.2,16898
SLTL.N0000,2021-03-25,32.4,32.8,32.0,32.4,21507
SLTL.N0000,2021-03-26,32.5,33.0,32.4,32.5,16445
SLTL.N0000,2021-03-29,32.4,33.2,32.2,32.4,8141
SLTL.N0000,2021-03-30,33.0,33.2,32.5,33.0,9002
SLTL.N0000,2021-03-31,32.7,33.2,32.4,32.7,19505
SLTL.N0000,2022-01-03,38.8,39.0,38.1,38.8,14216
SLTL.N0000,2022-01-04,38.9,39.0,38.0,38.8,20532
SLTL.N0000,2022-01-05,37.8,39.5,37.8,39.4,29840
SLTL.N0000,2022-01-06,39.9,40.6,39.5,40.3,463565
SLTL.N0000,2022-01-07,40.5,42.0,40.5,41.6,106690
SLTL.N0000,2022-01-10,41.5,45.5,41.5,45.0,121686
SLTL.N0000,2022-01-11,45.0,45.5,43.7,43.9,174621
SLTL.N0000,2022-01-12,45.5,54.8,44.8,54.8,3031271
SLTL.N0000,2022-01-13,68.5,68.5,60.0,66.7,3008934
SLTL.N0000,2022-01-18,70.0,70.0,60.0,61.0,758838
SLTL.N0000,2022-01-19,55.8,65.0,55.8,62.3,515230
SLTL.N0000,2022-01-20,64.5,65.9,60.0,61.0,195104
SLTL.N0000,2022-01-21,62.2,62.2,57.9,58.4,122801
SLTL.N0000,2022-01-24,58.0,59.7,53.8,54.3,259168
SLTL.N0000,2022-01-25,55.0,55.0,50.1,51.0,343660
SLTL.N0000,2022-01-26,52.4,54.9,49.2,52.8,123418
SLTL.N0000,2022-01-27,53.5,61.1,51.0,52.6,679975
SLTL.N0000,2022-01-28,55.0,55.0,50.1,53.2,125904
SLTL.N0000,2022-01-31,55.0,63.0,55.0,60.5,1031970
SLTL.N0000,2022-02-01,62.0,62.5,59.0,59.9,353279
SLTL.N0000,2022-02-02,59.5,60.0,55.0,55.5,335399
SLTL.N0000,2022-02-03,55.0,58.0,51.0,57.1,89787
SLTL.N0000,2022-02-07,55.0,57.9,55.0,55.0,33176
SLTL.N0000,2022-02-08,55.1,55.1,52.5,53.2,36236
SLTL.N0000,2022-02-09,52.5,55.0,50.0,51.4,78599
SLTL.N0000,2022-02-10,52.0,53.0,50.0,52.0,55597
SLTL.N0000,2022-02-11,52.0,54.0,50.5,53.0,46799
SLTL.N0000,2022-02-14,54.0,58.0,54.0,56.4,117310
SLTL.N0000,2022-02-15,56.2,56.9,53.0,53.6,23366
SLTL.N0000,2022-02-17,54.0,54.1,52.0,52.1,88428
SLTL.N0000,2022-02-18,52.7,54.0,50.0,51.1,46368
SLTL.N0000,2022-02-21,50.1,50.1,47.0,47.1,45712
SLTL.N0000,2022-02-22,45.1,51.0,45.1,49.7,27190
SLTL.N0000,2022-02-23,49.1,49.1,44.6,46.1,52144
SLTL.N0000,2022-02-24,45.5,47.0,39.5,40.0,84749
SLTL.N0000,2022-02-25,41.5,45.0,40.0,44.6,61006
SLTL.N0000,2022-02-28,44.9,48.0,43.0,47.2,55644
