symbol,date,open,high,low,close,volume
TKYO.N0000,2021-01-04,72.3,73.0,68.8,72.3,2581552
TKYO.N0000,2021-01-05,73.2,74.1,72.0,73.2,2437504
TKYO.N0000,2021-01-06,71.9,73.4,71.0,71.9,2126171
TKYO.N0000,2021-01-07,70.5,72.0,69.9,70.5,784108
TKYO.N0000,2021-01-08,69.7,70.2,69.0,69.7,958769
TKYO.N0000,2021-01-11,69.0,70.0,68.8,69.0,1955442
TKYO.N0000,2021-01-12,72.3,72.9,67.6,72.3,2042711
TKYO.N0000,2021-01-13,71.5,73.8,71.1,71.5,1917609
TKYO.N0000,2021-01-15,74.6,76.2,71.5,74.6,5697125
TKYO.N0000,2021-01-18,78.8,82.0,75.0,78.8,3948642
TKYO.N0000,2021-01-19,77.4,81.0,76.2,77.4,2487043
TKYO.N0000,2021-01-20,76.8,79.0,74.5,76.8,1245947
TKYO.N0000,2021-01-21,78.8,79.5,74.0,78.8,2745656
TKYO.N0000,2021-01-22,78.8,80.0,78.2,78.8,1401052
TKYO.N0000,2021-01-25,79.3,80.0,78.0,79.3,3436140
TKYO.N0000,2021-01-26,79.0,80.9,78.5,79.0,2036722
TKYO.N0000,2021-01-27,77.0,79.0,75.2,77.0,2398279
TKYO.N0000,2021-01-29,74.3,77.5,72.6,74.3,1836332
TKYO.N0000,2021-02-01,72.0,75.0,67.0,72.0,882725
TKYO.N0000,2021-02-02,67.7,73.0,65.0,67.7,1979270
TKYO.N0000,2021-02-03,70.0,73.0,67.0,70.0,1699709
TKYO.N0000,2021-02-05,70.0,71.8,69.5,70.0,705882
TKYO.N0000,2021-02-08,69.0,71.0,68.7,69.0,688691
TKYO.N0000,2021-02-09,68.9,69.5,66.0,68.9,881517
TKYO.N0000,2021-02-10,67.8,71.0,67.0,67.8,2132429
TKYO.N0000,2021-02-11,64.5,68.6,55.0,64.5,2882394
TKYO.N0000,2021-02-12,69.7,70.5,65.7,69.7,1555974
TKYO.N0000,2021-02-15,65.9,70.0,65.0,65.9,1631786
