symbol,date,open,high,low,close,volume
UML.N0000,2021-01-04,80.9,81.5,79.0,80.9,65110
UML.N0000,2021-01-05,78.6,81.0,78.5,78.6,28868
UML.N0000,2021-01-06,79.2,80.0,78.6,79.2,9604
UML.N0000,2021-01-07,79.9,79.9,77.1,79.9,5408
UML.N0000,2021-01-08,79.9,83.0,79.9,79.9,22387
UML.N0000,2021-01-11,79.1,80.6,79.0,79.1,62576
UML.N0000,2021-01-12,79.4,80.0,78.0,79.4,7637
UML.N0000,2021-01-13,78.2,80.0,78.1,78.2,3075
UML.N0000,2021-01-15,79.9,80.6,78.0,79.9,38528
UML.N0000,2021-01-18,79.0,79.1,78.2,79.0,13631
UML.N0000,2021-01-19,78.0,79.0,77.5,78.0,29680
UML.N0000,2021-01-20,77.7,78.0,77.0,77.7,6817
UML.N0000,2021-01-21,77.0,78.0,77.0,77.0,20090
UML.N0000,2021-01-22,77.0,78.0,76.5,77.0,3662
UML.N0000,2021-01-25,78.1,79.5,77.1,78.1,28427
UML.N0000,2021-01-26,76.6,78.0,76.5,76.6,22912
UML.N0000,2021-01-27,76.8,78.0,76.8,76.8,6696
UML.N0000,2021-01-29,76.5,77.0,76.2,76.5,2429
UML.N0000,2021-02-01,75.7,77.9,75.0,75.7,6954
UML.N0000,2021-02-02,68.3,75.6,66.0,68.3,3570
UML.N0000,2021-02-03,70.4,78.0,68.5,70.4,4296
UML.N0000,2021-02-05,76.5,77.5,76.0,76.5,2210
UML.N0000,2021-02-08,75.0,75.5,74.5,75.0,24519
UML.N0000,2021-02-09,75.0,76.0,75.0,75.0,13813
UML.N0000,2021-02-10,76.9,77.0,74.6,76.9,50471
UML.N0000,2021-02-11,69.2,74.6,68.0,69.2,8246
UML.N0000,2021-02-12,70.2,73.8,70.0,70.2,8177
UML.N0000,2021-02-15,71.1,73.0,71.0,71.1,8564
UML.N0000,2021-02-16,69.9,71.2,68.7,69.9,4271
UML.N0000,2021-02-17,68.8,69.9,68.7,68.8,2200
UML.N0000,2021-02-18,69.7,70.0,65.0,69.7,4681
UML.N0000,2021-02-19,69.7,70.0,69.5,69.7,47
UML.N0000,2021-02-22,69.0,69.0,66.3,69.0,1110
UML.N0000,2021-02-23,67.0,69.5,66.0,67.0,3194
UML.N0000,2021-02-25,66.5,67.0,66.2,66.5,1511
UML.N0000,2021-03-01,66.5,66.5,66.3,66.5,3
UML.N0000,2021-03-02,66.2,66.3,66.0,66.2,156
UML.N0000,2021-03-03,64.7,66.0,64.7,64.7,306
UML.N0000,2021-03-04,64.5,64.5,64.5,64.5,1002
UML.N0000,2021-03-05,62.1,64.2,61.0,62.1,5361
UML.N0000,2021-03-08,60.1,62.8,60.0,60.1,3804
UML.N0000,2021-03-09,61.1,64.0,61.0,61.1,23416
UML.N0000,2021-03-10,60.7,61.0,60.0,60.7,5216
UML.N0000,2021-03-12,60.0,60.5,60.0,60.0,2577
UML.N0000,2021-03-15,60.0,60.0,60.0,60.0,2714
UML.N0000,2021-03-16,59.9,60.0,59.8,59.9,2221
UML.N0000,2021-03-17,59.9,60.0,59.8,59.9,5118
UML.N0000,2021-03-18,59.9,59.9,59.8,59.9,1710
UML.N0000,2021-03-19,59.7,60.0,58.5,59.7,1619
UML.N0000,2021-03-22,60.0,60.0,59.9,60.0,137
UML.N0000,2021-03-23,59.0,59.9,58.5,59.0,3323
UML.N0000,2021-03-24,59.5,59.7,55.0,59.5,6778
UML.N0000,2021-03-25,55.3,60.0,55.0,55.3,14985
UML.N0000,2021-03-26,55.5,58.9,55.0,55.5,17054
UML.N0000,2021-03-29,57.4,58.0,56.8,57.4,7532
UML.N0000,2021-03-30,57.1,58.0,56.9,57.1,6050
UML.N0000,2021-03-31,57.7,58.0,57.0,57.7,1396
UML.N0000,2022-01-03,92.0,96.0,87.1,95.2,11271
UML.N0000,2022-01-04,98.0,98.0,95.0,95.5,35606
UML.N0000,2022-01-05,97.0,100.0,95.0,98.7,87141
UML.N0000,2022-01-06,98.0,98.0,95.1,97.0,19510
UML.N0000,2022-01-07,97.8,101.0,95.2,99.3,113681
UML.N0000,2022-01-10,99.9,100.75,97.0,97.5,18283
UML.N0000,2022-01-11,98.5,100.0,97.0,99.6,71867
UML.N0000,2022-01-12,95.5,99.9,95.0,95.8,7345
UML.N0000,2022-01-13,95.8,100.0,93.4,96.9,18098
UML.N0000,2022-01-18,97.0,97.0,95.0,96.3,10535
UML.N0000,2022-01-19,98.9,100.0,95.2,99.7,56893
UML.N0000,2022-01-20,99.8,99.8,98.0,99.0,6645
UML.N0000,2022-01-21,98.0,99.0,97.0,97.1,20362
UML.N0000,2022-01-24,97.0,106.0,96.0,103.0,462291
UML.N0000,2022-01-25,103.5,104.0,98.0,99.0,73051
UML.N0000,2022-01-26,100.75,100.75,95.1,95.5,2022
UML.N0000,2022-01-27,94.9,98.9,90.4,93.1,10510
UML.N0000,2022-01-28,91.0,98.9,90.5,94.1,4319
UML.N0000,2022-01-31,93.0,103.75,93.0,98.7,10960
UML.N0000,2022-02-01,98.0,100.0,97.0,99.9,159439
UML.N0000,2022-02-02,97.7,100.0,96.2,96.4,6204
UML.N0000,2022-02-03,98.9,100.0,94.0,94.2,42692
UML.N0000,2022-02-07,96.1,101.0,96.1,99.5,87728
UML.N0000,2022-02-08,99.0,99.0,95.2,97.1,5718
UML.N0000,2022-02-09,96.0,99.0,94.4,95.9,5570
UML.N0000,2022-02-10,95.1,95.1,94.3,94.5,2647
UML.N0000,2022-02-11,95.9,99.9,95.9,96.2,8320
UML.N0000,2022-02-14,98.0,99.8,95.6,96.0,823
UML.N0000,2022-02-15,97.0,97.0,96.0,96.0,1552
UML.N0000,2022-02-17,95.6,95.6,90.0,90.2,31395
UML.N0000,2022-02-18,92.0,97.8,89.0,93.6,8958
UML.N0000,2022-02-21,95.0,95.9,90.0,93.4,645
UML.N0000,2022-02-22,90.0,94.0,87.0,88.1,661
UML.N0000,2022-02-23,86.6,93.5,80.1,91.6,9319
UML.N0000,2022-02-24,85.6,91.9,80.0,80.5,27635
UML.N0000,2022-02-25,81.9,89.9,81.9,88.9,2403
UML.N0000,2022-02-28,91.0,91.0,88.5,88.5,1112
UML.N0000,2022-03-02,90.0,90.0,89.0,89.8,18865
UML.N0000,2022-03-03,89.9,89.9,88.0,88.0,4607
UML.N0000,2022-03-04,85.2,89.8,84.6,89.8,10134
UML.N0000,2022-03-07,89.9,89.9,82.5,83.9,5742
UML.N0000,2022-03-08,83.0,83.0,80.0,80.9,2213
UML.N0000,2022-03-09,81.0,85.0,81.0,84.9,164
UML.N0000,2022-03-10,84.9,88.0,79.6,80.8,14488
UML.N0000,2022-03-11,80.0,85.9,79.6,80.0,21823
UML.N0000,2022-03-14,80.0,87.9,78.1,80.1,56942
UML.N0000,2022-03-15,87.0,87.0,78.5,78.7,1994
UML.N0000,2022-03-16,80.0,80.0,80.0,78.7,2
UML.N0000,2022-03-18,79.5,79.9,70.0,70.1,38941
UML.N0000,2022-03-21,72.6,74.8,70.0,70.1,12030
UML.N0000,2022-03-22,74.0,81.9,72.4,72.9,85378
UML.N0000,2022-03-23,79.0,79.7,78.0,78.5,3233
UML.N0000,2022-03-24,77.0,77.0,70.0,73.3,19572
UML.N0000,2022-03-25,73.4,73.4,70.0,70.0,3973
UML.N0000,2022-03-28,70.0,70.0,68.0,68.6,4931
UML.N0000,2022-03-29,66.1,69.0,66.0,66.9,7591
UML.N0000,2022-03-30,66.0,66.0,59.0,62.4,5657
UML.N0000,2022-03-31,67.5,67.5,55.0,55.1,31805
UML.N0000,2023-01-02,59.9,59.9,59.9,60.9,20
UML.N0000,2023-01-04,57.0,60.0,57.0,59.6,5201
UML.N0000,2023-01-05,60.0,60.0,60.0,59.6,2
UML.N0000,2023-01-09,59.9,59.9,57.7,57.8,720
UML.N0000,2023-01-10,57.1,62.8,56.3,56.3,570
UML.N0000,2023-01-11,59.2,63.0,59.2,62.5,5001
UML.N0000,2023-01-12,62.7,63.0,62.7,63.0,81100
UML.N0000,2023-01-13,58.1,62.0,58.1,58.2,705
UML.N0000,2023-01-17,61.9,63.0,61.9,62.4,2540
