COMPANY ID,  MAIN TYPE  ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,04-JAN-21,      8.90,      8.80,      8.80,      8.80,4,"2,510.00","22,208.00"
AAF,N,0000,ASIA ASSET,05-JAN-21,      9.10,      8.80,      9.00,      9.00,21,"23,269.00","206,917.50"
AAF,N,0000,ASIA ASSET,06-JAN-21,      9.00,      8.80,      8.80,      8.80,28,"22,515.00","198,242.00"
AAF,N,0000,ASIA ASSET,07-JAN-21,      9.10,      8.80,      8.90,      8.90,10,"14,832.00","131,349.60"
AAF,N,0000,ASIA ASSET,08-JAN-21,      8.80,      8.60,      8.60,      8.60,24,"109,384.00","945,862.30"
AAF,N,0000,ASIA ASSET,11-JAN-21,      8.60,      8.20,      8.50,      8.50,60,"82,409.00","688,285.20"
AAF,N,0000,ASIA ASSET,12-JAN-21,      8.90,      8.50,      8.70,      8.70,9,"1,870.00","16,033.00"
AAF,N,0000,ASIA ASSET,13-JAN-21,      8.80,      8.60,      8.60,      8.60,7,"10,327.00","88,894.90"
AAF,N,0000,ASIA ASSET,15-JAN-21,      8.70,      8.20,      8.20,      8.20,160,"377,886.00","3,112,521.00"
AAF,N,0000,ASIA ASSET,18-JAN-21,      8.80,      8.20,      8.40,      8.40,64,"386,457.00","3,240,490.00"
AAF,N,0000,ASIA ASSET,19-JAN-21,      8.70,      8.30,      8.50,      8.50,35,"48,703.00","418,601.60"
AAF,N,0000,ASIA ASSET,20-JAN-21,      8.50,      8.30,      8.40,      8.40,17,"27,828.00","233,768.00"
AAF,N,0000,ASIA ASSET,21-JAN-21,      8.50,      8.20,      8.30,      8.30,17,"11,219.00","93,813.80"
AAF,N,0000,ASIA ASSET,22-JAN-21,      8.30,      8.20,      8.20,      8.20,22,"86,637.00","713,115.40"
AAF,N,0000,ASIA ASSET,25-JAN-21,      8.50,      8.00,      8.10,      8.10,81,"306,490.00","2,495,565.90"
AAF,N,0000,ASIA ASSET,26-JAN-21,      8.10,      7.70,      7.80,      7.80,94,"509,462.00","4,025,079.60"
AAF,N,0000,ASIA ASSET,27-JAN-21,      8.00,      7.70,      7.80,      7.80,33,"244,223.00","1,913,295.80"
AAF,N,0000,ASIA ASSET,29-JAN-21,      7.90,      7.60,      7.70,      7.70,40,"73,386.00","566,272.80"
AAF,N,0000,ASIA ASSET,01-FEB-21,      7.60,      7.30,      7.40,      7.40,50,"137,779.00","1,022,639.00"
AAF,N,0000,ASIA ASSET,02-FEB-21,      7.40,      7.20,      7.30,      7.30,18,"23,926.00","173,786.50"
AAF,N,0000,ASIA ASSET,03-FEB-21,      7.50,      7.30,      7.50,      7.50,11,"15,684.00","115,137.20"
AAF,N,0000,ASIA ASSET,05-FEB-21,      7.60,      7.30,      7.30,      7.30,34,"48,415.00","355,084.20"
AAF,N,0000,ASIA ASSET,08-FEB-21,      7.40,      7.20,      7.20,      7.20,9,"11,718.00","84,893.30"
AAF,N,0000,ASIA ASSET,09-FEB-21,      7.30,      7.20,      7.20,      7.20,26,"47,365.00","341,831.40"
AAF,N,0000,ASIA ASSET,10-FEB-21,      7.20,      6.90,      7.00,      7.00,35,"47,561.00","334,883.20"
AAF,N,0000,ASIA ASSET,11-FEB-21,      7.00,      6.80,      7.00,      7.00,14,"19,609.00","135,512.10"
AAF,N,0000,ASIA ASSET,12-FEB-21,      7.00,      6.80,      7.00,      7.00,94,"118,694.00","828,196.40"
AAF,N,0000,ASIA ASSET,15-FEB-21,      7.70,      7.00,      7.30,      7.30,18,"9,982.00","74,202.20"
AAF,N,0000,ASIA ASSET,16-FEB-21,      7.30,      6.90,      6.90,      6.90,27,"38,085.00","265,995.50"
AAF,N,0000,ASIA ASSET,17-FEB-21,      7.20,      6.90,      6.90,      6.90,9,"26,489.00","182,842.60"
AAF,N,0000,ASIA ASSET,18-FEB-21,      7.00,      6.90,      7.00,      7.00,12,"11,752.00","81,663.90"
AAF,N,0000,ASIA ASSET,19-FEB-21,      7.00,      6.90,      6.90,      6.90,8,"6,103.00","42,221.00"
AAF,N,0000,ASIA ASSET,22-FEB-21,      7.00,      6.80,      6.90,      6.90,18,"8,524.00","58,635.30"
AAF,N,0000,ASIA ASSET,23-FEB-21,      7.00,      6.20,      6.30,      6.30,53,"125,069.00","793,473.10"
AAF,N,0000,ASIA ASSET,24-FEB-21,      6.40,      6.20,      6.20,      6.20,23,"50,610.00","314,028.00"
AAF,N,0000,ASIA ASSET,25-FEB-21,      7.00,      6.20,      6.50,      6.50,40,"22,698.00","146,464.40"
AAF,N,0000,ASIA ASSET,01-MAR-21,      6.90,      6.30,      6.50,      6.50,14,"4,191.00","27,274.80"
AAF,N,0000,ASIA ASSET,02-MAR-21,      6.30,      5.70,      5.90,      5.90,89,"98,275.00","583,921.90"
AAF,N,0000,ASIA ASSET,03-MAR-21,      6.20,      5.50,      6.00,      6.00,32,"49,196.00","282,224.90"
AAF,N,0000,ASIA ASSET,04-MAR-21,      5.80,      5.70,      5.70,      5.70,12,"4,264.00","24,384.90"
AAF,N,0000,ASIA ASSET,05-MAR-21,      5.90,      5.60,      5.70,      5.70,19,"11,600.00","65,190.00"
AAF,N,0000,ASIA ASSET,08-MAR-21,      6.10,      6.00,      6.00,      6.00,13,"11,961.00","71,808.00"
AAF,N,0000,ASIA ASSET,09-MAR-21,      6.20,      5.90,      6.00,      6.00,18,"15,204.00","93,267.30"
AAF,N,0000,ASIA ASSET,10-MAR-21,      6.30,      5.90,      6.00,      6.00,9,"1,901.00","11,765.90"
AAF,N,0000,ASIA ASSET,12-MAR-21,      6.20,      5.90,      5.90,      5.90,12,"6,985.00","41,514.50"
AAF,N,0000,ASIA ASSET,15-MAR-21,      6.10,      5.70,      5.70,      5.70,53,"92,421.00","529,428.20"
AAF,N,0000,ASIA ASSET,16-MAR-21,      5.90,      5.60,      5.70,      5.70,14,"19,693.00","110,809.10"
AAF,N,0000,ASIA ASSET,17-MAR-21,      5.90,      5.50,      5.70,      5.70,20,"28,290.00","157,558.00"
AAF,N,0000,ASIA ASSET,18-MAR-21,      5.90,      5.60,      5.60,      5.60,10,"5,727.00","32,071.50"
AAF,N,0000,ASIA ASSET,19-MAR-21,      5.80,      5.50,      5.70,      5.70,18,"8,667.00","49,045.10"
AAF,N,0000,ASIA ASSET,22-MAR-21,      5.90,      5.60,      5.80,      5.80,14,"43,001.00","253,585.60"
AAF,N,0000,ASIA ASSET,23-MAR-21,      5.90,      5.60,      5.60,      5.60,19,"10,693.00","60,333.10"
AAF,N,0000,ASIA ASSET,24-MAR-21,      5.80,      5.70,      5.70,      5.70,6,"29,883.00","170,343.10"
AAF,N,0000,ASIA ASSET,25-MAR-21,      5.80,      5.50,      5.80,      5.80,31,"39,732.00","219,166.80"
AAF,N,0000,ASIA ASSET,26-MAR-21,      5.90,      5.70,      5.80,      5.80,12,"5,202.00","30,509.40"
AAF,N,0000,ASIA ASSET,29-MAR-21,      5.60,      5.50,      5.60,      5.60,16,"3,300.00","18,455.00"
AAF,N,0000,ASIA ASSET,30-MAR-21,      5.80,      5.60,      5.60,      5.60,10,"1,414.00","8,069.00"
AAF,N,0000,ASIA ASSET,31-MAR-21,      5.60,      5.60,      5.60,      5.60,1,"4,500.00","25,200.00"
AAIC,N,0000,Softlogic Life,04-JAN-21,     35.20,     34.60,     34.80,     34.80,76,"127,946.00","4,463,218.00"
AAIC,N,0000,Softlogic Life,05-JAN-21,     35.00,     34.50,     34.50,     34.50,148,"360,861.00","12,539,257.90"
AAIC,N,0000,Softlogic Life,06-JAN-21,     35.80,     34.50,     34.70,     34.70,85,"96,604.00","3,365,029.70"
AAIC,N,0000,Softlogic Life,07-JAN-21,     35.00,     34.00,     34.80,     34.80,89,"216,374.00","7,497,053.50"
AAIC,N,0000,Softlogic Life,08-JAN-21,     35.00,     33.80,     34.00,     34.00,112,"181,236.00","6,187,563.80"
AAIC,N,0000,Softlogic Life,11-JAN-21,     35.20,     33.90,     34.10,     34.10,41,"112,090.00","3,827,043.90"
AAIC,N,0000,Softlogic Life,12-JAN-21,     34.70,     33.60,     33.90,     33.90,89,"62,675.00","2,122,374.00"
AAIC,N,0000,Softlogic Life,13-JAN-21,     34.40,     33.40,     34.00,     34.00,119,"81,614.00","2,744,887.80"
AAIC,N,0000,Softlogic Life,15-JAN-21,     34.20,     33.60,     33.70,     33.70,108,"307,571.00","10,446,741.20"
AAIC,N,0000,Softlogic Life,18-JAN-21,     35.00,     33.90,     34.90,     34.90,98,"172,645.00","5,937,572.00"
AAIC,N,0000,Softlogic Life,19-JAN-21,     34.90,     34.20,     34.60,     34.60,101,"146,021.00","5,063,143.10"
AAIC,N,0000,Softlogic Life,20-JAN-21,     34.90,     34.00,     34.00,     34.00,101,"163,797.00","5,612,258.60"
AAIC,N,0000,Softlogic Life,21-JAN-21,     34.10,     33.10,     33.50,     33.50,229,"402,115.00","13,575,747.90"
AAIC,N,0000,Softlogic Life,22-JAN-21,     35.00,     33.20,     34.10,     34.10,113,"142,786.00","4,856,360.20"
AAIC,N,0000,Softlogic Life,25-JAN-21,     34.50,     33.70,     33.90,     33.90,124,"288,870.00","9,916,580.10"
AAIC,N,0000,Softlogic Life,26-JAN-21,     34.80,     34.00,     34.00,     34.00,87,"248,847.00","8,493,031.00"
AAIC,N,0000,Softlogic Life,27-JAN-21,     34.00,     32.90,     33.00,     33.00,218,"336,479.00","11,198,103.30"
AAIC,N,0000,Softlogic Life,29-JAN-21,     33.90,     32.90,     33.10,     33.10,118,"212,692.00","7,041,490.10"
AAIC,N,0000,Softlogic Life,01-FEB-21,     34.10,     32.90,     33.20,     33.20,75,"142,414.00","4,773,717.30"
AAIC,N,0000,Softlogic Life,02-FEB-21,     33.60,     30.10,     31.20,     31.20,131,"108,679.00","3,505,187.40"
AAIC,N,0000,Softlogic Life,03-FEB-21,     33.90,     31.00,     33.60,     33.60,85,"223,126.00","7,065,711.60"
AAIC,N,0000,Softlogic Life,05-FEB-21,     33.90,     33.00,     33.10,     33.10,67,"80,793.00","2,678,817.00"
AAIC,N,0000,Softlogic Life,08-FEB-21,     33.90,     31.90,     32.00,     32.00,74,"83,743.00","2,708,798.00"
AAIC,N,0000,Softlogic Life,09-FEB-21,     32.00,     31.50,     32.00,     32.00,36,"42,676.00","1,362,071.70"
AAIC,N,0000,Softlogic Life,10-FEB-21,     32.80,     31.00,     31.40,     31.40,69,"56,214.00","1,773,871.50"
AAIC,N,0000,Softlogic Life,11-FEB-21,     32.20,     30.10,     31.80,     31.80,90,"55,648.00","1,722,139.60"
AAIC,N,0000,Softlogic Life,12-FEB-21,     33.90,     30.10,     32.20,     32.20,45,"15,580.00","499,537.10"
AAIC,N,0000,Softlogic Life,15-FEB-21,     34.30,     32.80,     33.10,     33.10,100,"311,465.00","10,505,209.80"
AAIC,N,0000,Softlogic Life,16-FEB-21,     34.30,     31.80,     32.30,     32.30,47,"42,064.00","1,364,777.30"
AAIC,N,0000,Softlogic Life,17-FEB-21,     32.50,     31.90,     32.00,     32.00,46,"126,592.00","4,059,854.50"
AAIC,N,0000,Softlogic Life,18-FEB-21,     32.70,     31.70,     32.70,     32.70,23,"108,705.00","3,551,963.10"
AAIC,N,0000,Softlogic Life,19-FEB-21,     33.50,     32.50,     33.10,     33.10,34,"41,568.00","1,370,785.90"
AAIC,N,0000,Softlogic Life,22-FEB-21,     33.00,     32.10,     32.50,     32.50,54,"163,323.00","5,312,269.80"
AAIC,N,0000,Softlogic Life,23-FEB-21,     32.10,     31.20,     31.40,     31.40,38,"33,136.00","1,048,428.40"
AAIC,N,0000,Softlogic Life,24-FEB-21,     32.90,     31.00,     31.40,     31.40,54,"33,558.00","1,064,185.60"
AAIC,N,0000,Softlogic Life,25-FEB-21,     31.80,     30.00,     30.80,     30.80,117,"89,615.00","2,742,451.50"
AAIC,N,0000,Softlogic Life,01-MAR-21,     32.40,     30.70,     31.40,     31.40,19,"4,051.00","127,739.40"
AAIC,N,0000,Softlogic Life,02-MAR-21,     31.50,     31.00,     31.00,     31.00,32,"15,544.00","481,968.00"
AAIC,N,0000,Softlogic Life,03-MAR-21,     31.00,     30.80,     30.80,     30.80,47,"54,797.00","1,693,554.50"
AAIC,N,0000,Softlogic Life,04-MAR-21,     31.00,     29.80,     30.00,     30.00,81,"66,284.00","2,007,405.40"
AAIC,N,0000,Softlogic Life,05-MAR-21,     30.00,     29.60,     30.00,     30.00,49,"321,066.00","9,629,413.10"
AAIC,N,0000,Softlogic Life,08-MAR-21,     31.40,     29.90,     30.70,     30.70,60,"185,390.00","5,612,725.10"
AAIC,N,0000,Softlogic Life,09-MAR-21,     31.80,     29.90,     30.00,     30.00,66,"153,929.00","4,639,317.30"
AAIC,N,0000,Softlogic Life,10-MAR-21,     33.00,     31.60,     31.90,     31.90,389,"668,397.00","21,398,631.20"
AAIC,N,0000,Softlogic Life,12-MAR-21,     33.80,     32.00,     32.40,     32.40,220,"258,944.00","8,394,343.20"
AAIC,N,0000,Softlogic Life,15-MAR-21,     34.00,     32.00,     32.10,     32.10,429,"863,088.00","27,873,900.10"
AAIC,N,0000,Softlogic Life,16-MAR-21,     33.50,     32.00,     32.30,     32.30,121,"191,565.00","6,210,724.20"
